日期,市,省,比例
2020-01-01,成都,四川,0.1863
2020-01-01,甘孜藏族自治州,四川,0.1157
2020-01-01,海西蒙古族藏族自治州,青海,0.1024
2020-01-01,重庆,重庆,0.0447
2020-01-01,玉树藏族自治州,青海,0.0301
2020-01-01,遂宁,四川,0.0267
2020-01-01,西安,陕西,0.0248
2020-01-01,西宁,青海,0.0238
2020-01-01,绵阳,四川,0.0214
2020-01-01,迪庆藏族自治州,云南,0.0199
2020-01-01,南充,四川,0.0152
2020-01-01,咸阳,陕西,0.0151
2020-01-01,兰州,甘肃,0.0128
2020-01-01,眉山,四川,0.0116
2020-01-01,临夏回族自治州,甘肃,0.0116
2020-01-01,昆明,云南,0.011000000000000001
2020-01-01,北京,北京,0.0105
2020-01-01,德阳,四川,0.0095
2020-01-01,海东,青海,0.0086
2020-01-01,郑州,河南,0.008100000000000001
2020-01-01,商丘,河南,0.008100000000000001
2020-01-01,丽江,云南,0.0072
2020-01-01,大理白族自治州,云南,0.0071
2020-01-01,南京,江苏,0.0069
2020-01-01,雅安,四川,0.0068000000000000005
2020-01-01,自贡,四川,0.0055000000000000005
2020-01-01,广安,四川,0.0054
2020-01-01,内江,四川,0.0051
2020-01-01,怒江傈僳族自治州,云南,0.0048
2020-01-01,资阳,四川,0.0048
2020-01-01,周口,河南,0.0045000000000000005
2020-01-01,乐山,四川,0.0043
2020-01-01,广州,广东,0.0043
2020-01-01,武汉,湖北,0.0043
2020-01-01,天水,甘肃,0.0043
2020-01-01,凉山彝族自治州,四川,0.0043
2020-01-01,长沙,湖南,0.0039
2020-01-01,泸州,四川,0.0037
2020-01-01,广元,四川,0.0037
2020-01-01,上海,上海,0.0036
2020-01-01,宝鸡,陕西,0.0033
2020-01-01,武威,甘肃,0.0033
2020-01-01,银川,宁夏,0.0033
2020-01-01,渭南,陕西,0.0033
2020-01-01,张掖,甘肃,0.0033
2020-01-01,三亚,海南,0.0033
2020-01-01,定西,甘肃,0.0031
2020-01-01,达州,四川,0.0031
2020-01-01,荆州,湖北,0.0031
2020-01-01,邢台,河北,0.003
2020-01-01,宜宾,四川,0.003
2020-01-01,菏泽,山东,0.0028000000000000004
2020-01-01,安庆,安徽,0.0028000000000000004
2020-01-01,南阳,河南,0.0028000000000000004
2020-01-01,太原,山西,0.0028000000000000004
2020-01-01,贵阳,贵州,0.0027
2020-01-01,驻马店,河南,0.0025
2020-01-01,深圳,广东,0.0025
2020-01-01,天门,湖北,0.0022
2020-01-01,西双版纳傣族自治州,云南,0.0022
2020-01-01,天津,天津,0.0021
2020-01-01,毕节,贵州,0.0019
2020-01-01,洛阳,河南,0.0019
2020-01-01,庆阳,甘肃,0.0018
2020-01-01,邯郸,河北,0.0018
2020-01-01,石家庄,河北,0.0018
