日期,省,比例,规模,规模/人口
2020-01-01,山东,0.1352,0.57518768736,0.5724832763624638
2020-01-01,安徽,0.1239,0.52711356852,0.8335656406477323
2020-01-01,湖北,0.0977,0.41564968236,0.7024669297955045
2020-01-01,江苏,0.0891,0.37906229988,0.4720988129475795
2020-01-01,河北,0.0796,0.33864600528000005,0.44816379085001923
2020-01-01,山西,0.0712,0.30290949216,0.8181546643618244
2020-01-01,北京,0.0653,0.27780884604,1.2798122542958492
2020-01-01,陕西,0.058,0.24675211440000003,0.6433476065327577
2020-01-01,浙江,0.045700000000000005,0.19442364876000004,0.3388942805647552
2020-01-01,广东,0.041100000000000005,0.17485365348000004,0.15411039439450028
2020-01-01,上海,0.0333,0.14166974844000002,0.5844992055384565
2020-01-01,四川,0.0193,0.08210889324000001,0.0984401069895696
2020-01-01,湖南,0.0189,0.08040715452000001,0.11720817836214689
2020-01-01,江西,0.014,0.059560855200000005,0.1288610268059973
2020-01-01,天津,0.013,0.0553065084,0.35461982816106696
2020-01-01,福建,0.0116,0.04935042288,0.12522309789393554
2020-01-01,甘肃,0.0092,0.039139990560000004,0.1490644075697621
2020-01-01,重庆,0.0086,0.03658738248000001,0.12002041208097286
2020-01-01,海南,0.0083,0.035311078440000004,0.3814279990494297
2020-01-01,云南,0.008,0.0340347744,0.07089839475054682
2020-01-01,辽宁,0.0077,0.03275847036000001,0.07514617108251327
2020-01-01,贵州,0.0074,0.031482166320000005,0.08793901206703912
2020-01-01,新疆,0.0066,0.028078688880000004,0.11485676545300595
2020-01-01,广西,0.006500000000000001,0.027653254200000005,0.05660850399181168
2020-01-01,内蒙古,0.0054,0.022973472720000002,0.09066090260457775
2020-01-01,黑龙江,0.0041,0.017442821880000004,0.046039068493150696
2020-01-01,吉林,0.0032,0.013613909760000003,0.05009847451452292
2020-01-01,宁夏,0.0029,0.01233760572,0.18095903019991494
2020-01-01,青海,0.0023,0.009784997640000001,0.16352481098967211
2020-01-01,西藏,0.0004,0.0017017387200000003,0.05047423164763459
2020-01-02,山东,0.1087,0.53366343264,0.5311542599161562
2020-01-02,江苏,0.0968,0.47524029696000003,0.5918826011732031
2020-01-02,湖北,0.0885,0.43449138719999997,0.7343102707453101
2020-01-02,安徽,0.08650000000000001,0.42467237280000003,0.6715674185590487
2020-01-02,河北,0.0683,0.33531934176,0.44376128761430855
2020-01-02,北京,0.0673,0.33040983456,1.5221349544386602
2020-01-02,山西,0.06570000000000001,0.32255462304000004,0.8712159116236986
2020-01-02,陕西,0.0575,0.28229666400000003,0.7360215881359115
2020-01-02,广东,0.0565,0.27738715680000003,0.244480131147541
2020-01-02,浙江,0.0548,0.26904099456,0.468957633885306
2020-01-02,上海,0.038,0.1865612736,0.7697120761785309
2020-01-02,湖南,0.0244,0.11979197568000001,0.17461878032710418
2020-01-02,四川,0.0243,0.11930102496,0.14302964268073373
2020-01-02,福建,0.0177,0.08689827744,0.22049803968535905
2020-01-02,江西,0.0171,0.08395257312000001,0.18163296579476865
2020-01-02,天津,0.0151,0.07413355872,0.47533700128238016
2020-01-02,重庆,0.0126,0.06185979072,0.202923441640451
2020-01-02,甘肃,0.0124,0.06087788928,0.23185305795384867
2020-01-02,海南,0.0116,0.05695028352,0.615173301071552
2020-01-02,广西,0.0114,0.055968382080000004,0.11457191828045037
2020-01-02,云南,0.0107,0.05253172704,0.10942969907301323
2020-01-02,贵州,0.0088,0.043203663360000005,0.12068062391061454
2020-01-02,辽宁,0.0087,0.04271271264,0.09798066808891336
2020-01-02,新疆,0.0083,0.04074890976,0.1666847049294997
2020-01-02,内蒙古,0.0072,0.03534845184,0.13949665288082083
2020-01-02,黑龙江,0.0054,0.026511338880000002,0.06997476411434002
2020-01-02,宁夏,0.0044,0.021601831680000003,0.3168399606917086
2020-01-02,青海,0.0039,0.01914707808,0.31998191918179086
2020-01-02,吉林,0.0038,0.01865612736,0.06865357105794813
2020-01-02,西藏,0.0006,0.00294570432,0.0873707346878244
2020-01-03,山东,0.1224,0.82651990464,0.8226337826507579
2020-01-03,安徽,0.1015,0.6853902804,1.0838609026503891
2020-01-03,江苏,0.0937,0.6327198943200001,0.788013767476617
2020-01-03,湖北,0.0907,0.61246205352,1.035088817846882
2020-01-03,河北,0.0781,0.52737912216,0.6979330124002489
2020-01-03,山西,0.0662,0.44702302031999996,1.207403460828933
2020-01-03,北京,0.0638,0.43081674768,1.984690411756576
2020-01-03,陕西,0.0609,0.41123416824000003,1.0721955453350855
2020-01-03,广东,0.0488,0.32952754368000003,0.2904349935483871
2020-01-03,浙江,0.0458,0.30926970288,0.5390791404566847
2020-01-03,上海,0.0369,0.24917144184,1.028028293987078
2020-01-03,湖南,0.0232,0.15666063551999998,0.22836161557972068
2020-01-03,四川,0.0228,0.15395959008000001,0.1845816929384966
2020-01-03,福建,0.015700000000000002,0.10601603352000001,0.2690079510784065
2020-01-03,江西,0.0146,0.09858815856,0.21329732926591807
2020-01-03,天津,0.013999999999999999,0.0945365904,0.60615921005386
2020-01-03,重庆,0.011000000000000001,0.07427874960000001,0.24366231010717
2020-01-03,甘肃,0.0107,0.07225296552,0.27517496418111675
2020-01-03,海南,0.01,0.067526136,0.7294129796059453
2020-01-03,云南,0.0098,0.06617561328,0.13785150146859704
2020-01-03,广西,0.0095,0.0641498292,0.13132001883316274
2020-01-03,贵州,0.0091,0.06144878376000001,0.1716446473743017
2020-01-03,辽宁,0.0084,0.05672195424,0.13011711568371068
2020-01-03,新疆,0.0072,0.04861881792,0.1988768133122262
2020-01-03,内蒙古,0.0063,0.04254146568,0.1678826585635359
2020-01-03,黑龙江,0.0052,0.03511359072,0.09267978652308179
2020-01-03,吉林,0.0036,0.02430940896,0.08945735110012033
2020-01-03,宁夏,0.0034,0.02295888624,0.336744250282345
2020-01-03,青海,0.003,0.0202578408,0.3385447508272335
2020-01-03,西藏,0.0005,0.0033763068,0.10014257155568738
2020-01-04,山东,0.13119999999999998,0.9949184639999998,0.9902405675588518
2020-01-04,安徽,0.1121,0.850078962,1.3442959105572774
2020-01-04,江苏,0.0914,0.693106308,0.863221336853773
2020-01-04,湖北,0.0889,0.674148258,1.1393413182355923
2020-01-04,河北,0.0816,0.618790752,0.8189070735677514
2020-01-04,山西,0.0652,0.49442594399999995,1.3354381514443527
