日期,市,省,比例
2020-01-01,北京,北京,0.174
2020-01-01,廊坊,河北,0.12
2020-01-01,唐山,河北,0.1026
2020-01-01,沧州,河北,0.0857
2020-01-01,保定,河北,0.031400000000000004
2020-01-01,邯郸,河北,0.028
2020-01-01,德州,山东,0.0233
2020-01-01,石家庄,河北,0.0171
2020-01-01,衡水,河北,0.0129
2020-01-01,张家口,河北,0.0115
2020-01-01,秦皇岛,河北,0.0108
2020-01-01,滨州,山东,0.0107
2020-01-01,哈尔滨,黑龙江,0.0105
2020-01-01,承德,河北,0.01
2020-01-01,邢台,河北,0.0098
2020-01-01,上海,上海,0.009000000000000001
2020-01-01,济南,山东,0.008
2020-01-01,菏泽,山东,0.0063
2020-01-01,安阳,河南,0.005600000000000001
2020-01-01,聊城,山东,0.0053
2020-01-01,西安,陕西,0.005
2020-01-01,赤峰,内蒙古,0.005
2020-01-01,青岛,山东,0.005
2020-01-01,重庆,重庆,0.0049
2020-01-01,齐齐哈尔,黑龙江,0.0049
2020-01-01,沈阳,辽宁,0.004699999999999999
2020-01-01,葫芦岛,辽宁,0.004699999999999999
2020-01-01,成都,四川,0.004699999999999999
2020-01-01,周口,河南,0.0046
2020-01-01,长春,吉林,0.0045000000000000005
2020-01-01,濮阳,河南,0.0044
2020-01-01,阜阳,安徽,0.0044
2020-01-01,广州,广东,0.0043
2020-01-01,太原,山西,0.0043
2020-01-01,郑州,河南,0.0041
2020-01-01,绥化,黑龙江,0.0041
2020-01-01,潍坊,山东,0.004
2020-01-01,驻马店,河南,0.0039
2020-01-01,三亚,海南,0.0039
2020-01-01,济宁,山东,0.0038
2020-01-01,大同,山西,0.0038
2020-01-01,商丘,河南,0.0036
2020-01-01,通辽,内蒙古,0.0033
2020-01-01,南阳,河南,0.0032
2020-01-01,临汾,山西,0.0031
2020-01-01,黄冈,湖北,0.003
2020-01-01,苏州,江苏,0.0029
2020-01-01,忻州,山西,0.0029
2020-01-01,大连,辽宁,0.0029
2020-01-01,武汉,湖北,0.0029
2020-01-01,杭州,浙江,0.0028000000000000004
2020-01-01,呼和浩特,内蒙古,0.0028000000000000004
2020-01-01,南京,江苏,0.0027
2020-01-01,厦门,福建,0.0027
2020-01-01,泰安,山东,0.0027
2020-01-01,徐州,江苏,0.0027
2020-01-01,深圳,广东,0.0026
2020-01-01,运城,山西,0.0025
2020-01-01,信阳,河南,0.0025
2020-01-01,烟台,山东,0.0025
2020-01-01,锦州,辽宁,0.0024
2020-01-01,临沂,山东,0.0024
2020-01-01,长沙,湖南,0.0024
2020-01-01,东营,山东,0.0023
2020-01-01,朝阳,辽宁,0.0023
2020-01-01,包头,内蒙古,0.0021
2020-01-01,通化,吉林,0.0021
2020-01-01,安庆,安徽,0.0021
2020-01-01,淄博,山东,0.0021
2020-01-01,晋中,山西,0.0021
2020-01-01,昆明,云南,0.002
2020-01-01,合肥,安徽,0.002
2020-01-01,吕梁,山西,0.002
2020-01-01,新乡,河南,0.002
2020-01-01,乌兰察布,内蒙古,0.0018
2020-01-01,吉林,吉林,0.0018
2020-01-01,南通,江苏,0.0018
2020-01-01,大庆,黑龙江,0.0017
2020-01-01,长治,山西,0.0017
2020-01-01,洛阳,河南,0.0016
2020-01-01,无锡,江苏,0.0016
2020-01-01,四平,吉林,0.0015
2020-01-01,兰州,甘肃,0.0015
2020-01-01,呼伦贝尔,内蒙古,0.0014000000000000002
2020-01-01,松原,吉林,0.0014000000000000002
2020-01-01,盐城,江苏,0.0014000000000000002
2020-01-01,开封,河南,0.0014000000000000002
2020-01-01,乌鲁木齐,新疆,0.0014000000000000002
2020-01-01,宁波,浙江,0.0013
2020-01-01,南昌,江西,0.0013
2020-01-01,桂林,广西,0.0013
2020-01-01,庆阳,甘肃,0.0012
2020-01-01,威海,山东,0.0012
2020-01-01,珠海,广东,0.0012
2020-01-01,鄂尔多斯,内蒙古,0.0012
2020-01-01,阳泉,山西,0.0012
2020-01-01,鹤壁,河南,0.0012
2020-01-01,扬州,江苏,0.0012
2020-01-01,铁岭,辽宁,0.0012
2020-01-01,银川,宁夏,0.0012
2020-01-02,北京,北京,0.1523
2020-01-02,唐山,河北,0.0643
2020-01-02,沧州,河北,0.0572
2020-01-02,廊坊,河北,0.0572
2020-01-02,保定,河北,0.0309
2020-01-02,邯郸,河北,0.0256
2020-01-02,德州,山东,0.0221
2020-01-02,石家庄,河北,0.0207
2020-01-02,哈尔滨,黑龙江,0.0139
2020-01-02,衡水,河北,0.013
2020-01-02,上海,上海,0.0124
2020-01-02,邢台,河北,0.0122
2020-01-02,张家口,河北,0.0122
2020-01-02,秦皇岛,河北,0.0109
2020-01-02,济南,山东,0.0094
2020-01-02,滨州,山东,0.0092
2020-01-02,承德,河北,0.0088
2020-01-02,西安,陕西,0.0086
2020-01-02,菏泽,山东,0.008199999999999999
2020-01-02,齐齐哈尔,黑龙江,0.0076
2020-01-02,重庆,重庆,0.0074
2020-01-02,沈阳,辽宁,0.0072
2020-01-02,安阳,河南,0.006999999999999999
2020-01-02,广州,广东,0.006999999999999999
2020-01-02,青岛,山东,0.0069
2020-01-02,周口,河南,0.0067
2020-01-02,太原,山西,0.0067
2020-01-02,成都,四川,0.006500000000000001
2020-01-02,三亚,海南,0.006500000000000001
2020-01-02,赤峰,内蒙古,0.0063
2020-01-02,长春,吉林,0.0063
2020-01-02,聊城,山东,0.0063
2020-01-02,驻马店,河南,0.0061
2020-01-02,黄冈,湖北,0.006
2020-01-02,绥化,黑龙江,0.0059
2020-01-02,郑州,河南,0.0058
2020-01-02,濮阳,河南,0.005600000000000001
2020-01-02,大同,山西,0.0052
2020-01-02,阜阳,安徽,0.0052
2020-01-02,葫芦岛,辽宁,0.0051
2020-01-02,杭州,浙江,0.0049
2020-01-02,南阳,河南,0.0046
2020-01-02,济宁,山东,0.0046
2020-01-02,潍坊,山东,0.0044
2020-01-02,通辽,内蒙古,0.0044
2020-01-02,大连,辽宁,0.0043
2020-01-02,烟台,山东,0.0043
2020-01-02,临汾,山西,0.0041
2020-01-02,深圳,广东,0.004
2020-01-02,厦门,福建,0.004
2020-01-02,武汉,湖北,0.004
2020-01-02,商丘,河南,0.0039
2020-01-02,呼和浩特,内蒙古,0.0038
2020-01-02,苏州,江苏,0.0038
2020-01-02,运城,山西,0.0038
2020-01-02,南京,江苏,0.0037
2020-01-02,泰安,山东,0.0035
2020-01-02,信阳,河南,0.0035
2020-01-02,临沂,山东,0.0034
2020-01-02,昆明,云南,0.0034
2020-01-02,新乡,河南,0.0033
2020-01-02,安庆,安徽,0.0033
2020-01-02,忻州,山西,0.0032
2020-01-02,合肥,安徽,0.0031
2020-01-02,徐州,江苏,0.0031
2020-01-02,吉林,吉林,0.0031
2020-01-02,兰州,甘肃,0.003
2020-01-02,淄博,山东,0.0028000000000000004
2020-01-02,朝阳,辽宁,0.0028000000000000004
2020-01-02,锦州,辽宁,0.0027
2020-01-02,包头,内蒙古,0.0027
2020-01-02,无锡,江苏,0.0027
2020-01-02,呼伦贝尔,内蒙古,0.0026
2020-01-02,长沙,湖南,0.0026
2020-01-02,通化,吉林,0.0025
2020-01-02,晋中,山西,0.0025
2020-01-02,四平,吉林,0.0024
2020-01-02,庆阳,甘肃,0.0024
2020-01-02,贵阳,贵州,0.0023
2020-01-02,东营,山东,0.0023
2020-01-02,大庆,黑龙江,0.0023
2020-01-02,南通,江苏,0.0023
2020-01-02,桂林,广西,0.0022
2020-01-02,长治,山西,0.0022
2020-01-02,南昌,江西,0.0021
2020-01-02,南宁,广西,0.0021
2020-01-02,乌鲁木齐,新疆,0.0019
2020-01-02,吕梁,山西,0.0019
2020-01-02,乌兰察布,内蒙古,0.0019
2020-01-02,洛阳,河南,0.0019
2020-01-02,松原,吉林,0.0019
2020-01-02,珠海,广东,0.0018
2020-01-02,开封,河南,0.0018
2020-01-02,鞍山,辽宁,0.0018
2020-01-02,海口,海南,0.0018
2020-01-02,朔州,山西,0.0018
2020-01-02,宁波,浙江,0.0018
2020-01-02,天水,甘肃,0.0017
2020-01-02,鄂尔多斯,内蒙古,0.0017
2020-01-02,佳木斯,黑龙江,0.0017
2020-01-03,北京,北京,0.1618
2020-01-03,廊坊,河北,0.0943
2020-01-03,唐山,河北,0.08869999999999999
2020-01-03,沧州,河北,0.0701
2020-01-03,保定,河北,0.0351
2020-01-03,邯郸,河北,0.0236
2020-01-03,德州,山东,0.0223
2020-01-03,石家庄,河北,0.0212
2020-01-03,衡水,河北,0.013
2020-01-03,哈尔滨,黑龙江,0.0118
2020-01-03,张家口,河北,0.0118
2020-01-03,秦皇岛,河北,0.0117
2020-01-03,上海,上海,0.0106
2020-01-03,邢台,河北,0.0098
2020-01-03,承德,河北,0.0097
2020-01-03,济南,山东,0.0097
2020-01-03,滨州,山东,0.0083
2020-01-03,西安,陕西,0.008100000000000001
2020-01-03,成都,四川,0.0066
2020-01-03,重庆,重庆,0.0064
2020-01-03,太原,山西,0.0062
2020-01-03,沈阳,辽宁,0.0061
2020-01-03,赤峰,内蒙古,0.0058
2020-01-03,菏泽,山东,0.005699999999999999
2020-01-03,青岛,山东,0.005600000000000001
2020-01-03,安阳,河南,0.005600000000000001
2020-01-03,郑州,河南,0.005600000000000001
2020-01-03,广州,广东,0.0054
2020-01-03,周口,河南,0.0054
2020-01-03,聊城,山东,0.0052
2020-01-03,三亚,海南,0.0051
2020-01-03,长春,吉林,0.005
2020-01-03,阜阳,安徽,0.005
2020-01-03,齐齐哈尔,黑龙江,0.0049
2020-01-03,大同,山西,0.0049
2020-01-03,驻马店,河南,0.0048
2020-01-03,葫芦岛,辽宁,0.0044
2020-01-03,黄冈,湖北,0.0042
2020-01-03,潍坊,山东,0.004
2020-01-03,濮阳,河南,0.004
2020-01-03,厦门,福建,0.0038
2020-01-03,忻州,山西,0.0038
2020-01-03,南京,江苏,0.0038
2020-01-03,杭州,浙江,0.0037
2020-01-03,南阳,河南,0.0037
2020-01-03,大连,辽宁,0.0037
2020-01-03,济宁,山东,0.0036
2020-01-03,深圳,广东,0.0035
2020-01-03,烟台,山东,0.0035
2020-01-03,商丘,河南,0.0034
2020-01-03,绥化,黑龙江,0.0034
2020-01-03,泰安,山东,0.0034
2020-01-03,武汉,湖北,0.0032
2020-01-03,信阳,河南,0.0032
2020-01-03,苏州,江苏,0.0031
2020-01-03,昆明,云南,0.003
2020-01-03,合肥,安徽,0.003
2020-01-03,呼和浩特,内蒙古,0.003
2020-01-03,通辽,内蒙古,0.0029
