日期,省,比例,规模,规模/人口
2020-01-01,北京,0.403,3.1856434272000005,14.675650376376286
2020-01-01,天津,0.16649999999999998,1.3161529295999999,8.439041610669403
2020-01-01,山东,0.1158,0.9153784339200001,0.9110745178974525
2020-01-01,山西,0.056,0.4426700544,1.1956461555498537
2020-01-01,河南,0.0555,0.4387176432,0.45675964934929725
2020-01-01,内蒙古,0.0317,0.25058287008,0.9888826759273875
2020-01-01,辽宁,0.029300000000000007,0.23161129632000008,0.5313038706214303
2020-01-01,江苏,0.018000000000000002,0.14228680320000003,0.17720947430037493
2020-01-01,陕西,0.013,0.1027626912,0.2679293410925474
2020-01-01,黑龙江,0.0109,0.08616256416000001,0.22741986475572099
2020-01-01,湖北,0.0107,0.08458159968,0.14294676302180157
2020-01-01,安徽,0.0106,0.08379111744000001,0.13250540426339427
2020-01-01,广东,0.0094,0.07430533056000001,0.06549033188789001
2020-01-01,四川,0.0092,0.07272436608,0.08718902539263879
2020-01-01,浙江,0.0086,0.06798147264,0.11849655332055081
2020-01-01,吉林,0.0073,0.057705203520000005,0.21235212505933918
2020-01-01,湖南,0.0061,0.048219416640000005,0.0702886455788461
2020-01-01,上海,0.005,0.039524112,0.16306806723382483
2020-01-01,海南,0.0043,0.03399073632,0.3671657483581057
2020-01-01,重庆,0.0038,0.03003832512,0.0985370342110529
2020-01-01,江西,0.0037,0.029247842880000003,0.06327825637697151
2020-01-01,福建,0.0036,0.028457360640000002,0.07220847663029688
2020-01-01,云南,0.0034,0.02687639616,0.05598666005624414
2020-01-01,甘肃,0.0033,0.026085913920000002,0.0993480388923377
2020-01-01,广西,0.0033,0.026085913920000002,0.05340002849539407
2020-01-01,贵州,0.0022,0.017390609280000004,0.04857712089385476
2020-01-01,宁夏,0.0016,0.012647715840000002,0.18550749996333185
2020-01-01,新疆,0.0014000000000000002,0.011066751360000002,0.045268896660899026
2020-01-01,青海,0.0006,0.00474289344,0.07926223202647147
2020-01-01,西藏,0.0001,0.0007904822400000001,0.023446010381135994
2020-01-02,北京,0.3294,2.5192044252000003,11.605493274980422
2020-01-02,天津,0.1239,0.9475696062,6.075722019748654
2020-01-02,山东,0.1111,0.8496770238000001,0.8456820219284104
2020-01-02,山西,0.0653,0.4994051274,1.3488868621281078
2020-01-02,河南,0.0637,0.4871685546000001,0.5072030761061948
2020-01-02,内蒙古,0.0386,0.2952073188,1.1649854727703235
2020-01-02,辽宁,0.0318,0.2432018844,0.5578920569816256
2020-01-02,江苏,0.0275,0.210316095,0.2619357789595606
2020-01-02,陕西,0.0216,0.16519373280000002,0.430703472874038
2020-01-02,黑龙江,0.0181,0.13842622980000002,0.3653660353155437
2020-01-02,湖北,0.0173,0.1323079434,0.22360646172046644
2020-01-02,安徽,0.0165,0.126189657,0.19955350907710798
2020-01-02,广东,0.016200000000000003,0.12389529960000002,0.10919733791644634
2020-01-02,四川,0.0153,0.1170122274,0.1402856101186908
2020-01-02,浙江,0.015,0.11471787,0.19996142583231655
