日期,省,比例,规模,规模/人口
2020-01-01,重庆,0.3693,1.2022873189199998,3.9439558032167374
2020-01-01,云南,0.14300000000000002,0.4655485692,0.9697918325174462
2020-01-01,贵州,0.0926,0.30146711544,0.8420869146368715
2020-01-01,陕西,0.0565,0.1839405186,0.47958126994556033
2020-01-01,广东,0.0502,0.16343033688,0.14404225002644103
2020-01-01,甘肃,0.0261,0.08497075284,0.32361057710105073
2020-01-01,湖北,0.0239,0.07780846715999999,0.1314998599966199
2020-01-01,北京,0.0225,0.07325064899999999,0.33745173907034587
2020-01-01,河南,0.0212,0.06901838928,0.0718567301197293
2020-01-01,江苏,0.0176,0.05729828544,0.07136149532337813
2020-01-01,浙江,0.0169,0.05501937635999999,0.0959026954157225
2020-01-01,上海,0.0161,0.05241490883999999,0.21625274917690543
2020-01-01,山东,0.0137,0.044601506279999995,0.04439179941954208
2020-01-01,广西,0.0125,0.040694805,0.0833056397134084
2020-01-01,湖南,0.0123,0.04004368812,0.05837102142794671
2020-01-01,河北,0.012,0.039067012799999995,0.05170124637719518
2020-01-01,海南,0.0114,0.03711366216,0.4008993924991358
2020-01-01,福建,0.0109,0.03548586995999999,0.09004280629281906
2020-01-01,山西,0.0088,0.02864914272,0.07738096808783611
2020-01-01,西藏,0.0086,0.027998025839999996,0.8304323250778584
2020-01-01,青海,0.0078,0.025393558319999995,0.42437177579464547
2020-01-01,安徽,0.0078,0.025393558319999995,0.04015680675564551
2020-01-01,新疆,0.0074,0.02409132456,0.09854632551632736
2020-01-01,江西,0.0073,0.023765766119999997,0.051417680534821826
2020-01-01,辽宁,0.0055000000000000005,0.0179057142,0.041074746404239214
2020-01-01,内蒙古,0.0033,0.010743428519999999,0.042397113338595104
2020-01-01,天津,0.0033,0.010743428519999999,0.06888579456270838
2020-01-01,黑龙江,0.0031,0.010092311639999999,0.02663792762689049
2020-01-01,吉林,0.0029,0.009441194759999999,0.03474310197502787
2020-01-01,宁夏,0.0024,0.007813402559999998,0.11460130773405297
2020-01-02,重庆,0.3163,1.1380024854000002,3.7330773066791765
2020-01-02,云南,0.1081,0.3889284498,0.8101832096656599
2020-01-02,贵州,0.0794,0.2856699252,0.7979606849162012
2020-01-02,广东,0.0654,0.2352999132,0.20738578635642516
2020-01-02,陕西,0.0565,0.203278977,0.5300017129716539
2020-01-02,北京,0.0319,0.1147716702,0.5287311475560879
2020-01-02,湖北,0.0272,0.0978617376,0.16539080209565657
2020-01-02,河南,0.0266,0.0957030228,0.09963875356585111
2020-01-02,甘肃,0.0258,0.0928247364,0.35352242403007184
2020-01-02,浙江,0.0241,0.0867083778,0.15113888408575912
2020-01-02,江苏,0.0235,0.084549663,0.10530141232735107
2020-01-02,上海,0.018000000000000002,0.064761444,0.26719192335938075
2020-01-02,山东,0.0178,0.0640418724,0.06374076104482426
2020-01-02,湖南,0.0178,0.0640418724,0.09335277747004461
2020-01-02,海南,0.0175,0.06296251500000001,0.6801170389733842
2020-01-02,广西,0.0168,0.060444014399999996,0.12373390870010235
2020-01-02,福建,0.0168,0.060444014399999996,0.15337227708703374
2020-01-02,河北,0.0158,0.05684615640000001,0.07523014755899052
2020-01-02,新疆,0.0129,0.0464123682,0.18985126090638
2020-01-02,山西,0.0115,0.041375366999999996,0.11175433711021378
2020-01-02,安徽,0.0108,0.0388568664,0.06144738187108609
2020-01-02,江西,0.0098,0.0352590084,0.07628352567014993
2020-01-02,西藏,0.0091,0.0327405078,0.9710961827079934
2020-01-02,青海,0.0088,0.031661150400000004,0.5291144490123334
2020-01-02,辽宁,0.0069,0.0248252202,0.056947721423164274
2020-01-02,黑龙江,0.0049,0.0176295042,0.0465318029931111
2020-01-02,内蒙古,0.0048,0.0172697184,0.06815200631412785
2020-01-02,天津,0.0045000000000000005,0.016190361,0.10381098358553477
2020-01-02,宁夏,0.0037,0.013312074600000001,0.1952518312090233
