日期,市,省,比例
2020-01-01,北京,北京,0.0849
2020-01-01,徐州,江苏,0.06309999999999999
2020-01-01,天津,天津,0.0527
2020-01-01,沧州,河北,0.0444
2020-01-01,濮阳,河南,0.0392
2020-01-01,衡水,河北,0.0387
2020-01-01,连云港,江苏,0.0357
2020-01-01,邯郸,河北,0.032400000000000005
2020-01-01,上海,上海,0.0308
2020-01-01,邢台,河北,0.0306
2020-01-01,石家庄,河北,0.0205
2020-01-01,商丘,河南,0.0201
2020-01-01,郑州,河南,0.0168
2020-01-01,苏州,江苏,0.015
2020-01-01,南京,江苏,0.0125
2020-01-01,保定,河北,0.0119
2020-01-01,廊坊,河北,0.0116
2020-01-01,开封,河南,0.0111
2020-01-01,唐山,河北,0.0105
2020-01-01,杭州,浙江,0.0103
2020-01-01,大连,辽宁,0.01
2020-01-01,宿迁,江苏,0.0098
2020-01-01,西安,陕西,0.0096
2020-01-01,盐城,江苏,0.009000000000000001
2020-01-01,新乡,河南,0.008
2020-01-01,无锡,江苏,0.0078
2020-01-01,安阳,河南,0.0077
2020-01-01,哈尔滨,黑龙江,0.0074
2020-01-01,宿州,安徽,0.0071
2020-01-01,南通,江苏,0.0068000000000000005
2020-01-01,武汉,湖北,0.0066
2020-01-01,成都,四川,0.0066
2020-01-01,合肥,安徽,0.0064
2020-01-01,广州,广东,0.0062
2020-01-01,沈阳,辽宁,0.0061
2020-01-01,宁波,浙江,0.005600000000000001
2020-01-01,深圳,广东,0.0053
2020-01-01,重庆,重庆,0.0052
2020-01-01,淮安,江苏,0.0052
2020-01-01,周口,河南,0.0048
2020-01-01,长春,吉林,0.004699999999999999
2020-01-01,太原,山西,0.0046
2020-01-01,嘉兴,浙江,0.0045000000000000005
2020-01-01,常州,江苏,0.0044
2020-01-01,长治,山西,0.0042
2020-01-01,阜阳,安徽,0.0041
2020-01-01,南阳,河南,0.0041
2020-01-01,扬州,江苏,0.0037
2020-01-01,秦皇岛,河北,0.0036
