日期,省,比例,规模,规模/人口
2020-01-01,广东,0.2036,0.14360225616000002,0.12656641649920677
2020-01-01,北京,0.06849999999999999,0.0483141186,0.22257390979868244
2020-01-01,四川,0.0588,0.04147255728,0.049721325116892465
2020-01-01,河南,0.0526,0.03709960056,0.0386252999062988
2020-01-01,广西,0.0499,0.03519524844,0.07204759148413512
2020-01-01,湖南,0.0469,0.03307930164,0.048219150520392995
2020-01-01,河北,0.0404,0.028494750240000002,0.03770992448685203
2020-01-01,重庆,0.0358,0.02525029848,0.08283050120881896
2020-01-01,湖北,0.0331,0.023345946359999998,0.039455714652695616
2020-01-01,陕西,0.0307,0.021653188920000004,0.056455553782616866
2020-01-01,山东,0.0302,0.02130053112,0.021200380522412125
2020-01-01,上海,0.0296,0.02087734176,0.0861354650999678
2020-01-01,江苏,0.0292,0.02059521552,0.025650075996662226
2020-01-01,浙江,0.0281,0.019819368360000002,0.03454657200627506
2020-01-01,江西,0.0281,0.019819368360000002,0.042879574998377364
2020-01-01,山西,0.0277,0.01953724212,0.052769841100922386
2020-01-01,贵州,0.0273,0.019255115880000003,0.053785239888268166
2020-01-01,辽宁,0.0238,0.016786511280000003,0.03850735503406511
2020-01-01,黑龙江,0.0205,0.014458969800000002,0.03816340644548263
2020-01-01,云南,0.0191,0.01347152796,0.028062760045828562
2020-01-01,福建,0.0186,0.013118870159999999,0.03328817599594011
2020-01-01,吉林,0.0178,0.012554617680000001,0.04620033516962719
2020-01-01,安徽,0.0171,0.012060896760000002,0.019072833133025494
2020-01-01,天津,0.0144,0.010156544640000001,0.06512275352654529
2020-01-01,内蒙古,0.0128,0.00902803968,0.03562762304656669
2020-01-01,新疆,0.011,0.0077584716,0.03173627360748076
2020-01-01,甘肃,0.0104,0.00733528224,0.027936376218241923
2020-01-01,宁夏,0.004699999999999999,0.0033149833199999997,0.04862176505962246
2020-01-01,青海,0.0025,0.0017632890000000001,0.029467712824626492
2020-01-01,西藏,0.0001,7.053156e-05,0.002091993474714519
2020-01-02,广东,0.1782,0.15287549904,0.13473955494447382
2020-01-02,四川,0.0711,0.06099577991999999,0.07312765845821843
2020-01-02,湖南,0.0593,0.05087271096,0.07415630879566193
2020-01-02,北京,0.0565,0.0484706268,0.2232949131616529
2020-01-02,广西,0.0538,0.04615433136,0.09448174280450358
2020-01-02,河南,0.053,0.0454680216,0.04733786736074961
2020-01-02,湖北,0.0433,0.03714651576,0.06277930667568024
2020-01-02,重庆,0.0413,0.035430741360000004,0.11622619302395006
2020-01-02,河北,0.0377,0.032342347439999995,0.0428018308431375
2020-01-02,山东,0.0302,0.02590819344,0.025786378587552405
2020-01-02,浙江,0.0292,0.02505030624,0.04366446965312881
2020-01-02,贵州,0.0291,0.02496451752,0.06973328916201117
2020-01-02,陕西,0.0286,0.024535573919999998,0.06397068894311995
2020-01-02,江西,0.0284,0.02436399648,0.05271196313364055
2020-01-02,江苏,0.0254,0.021790334879999998,0.02713852375674093
2020-01-02,上海,0.0249,0.02136139128,0.08813255031397238
2020-01-02,福建,0.0234,0.02007456048,0.0509377327581832
2020-01-02,安徽,0.0228,0.01955982816,0.03093147599468657
2020-01-02,山西,0.0221,0.01895930712,0.05120884605723392
2020-01-02,辽宁,0.0218,0.01870194096,0.042901247815016176
2020-01-02,黑龙江,0.0217,0.01861615224,0.04913598923113469
2020-01-02,云南,0.0192,0.01647143424,0.03431191384230809
2020-01-02,吉林,0.018500000000000003,0.015870913200000003,0.05840412890120446
2020-01-02,天津,0.013500000000000002,0.0115814772,0.07425927930238524
2020-01-02,内蒙古,0.0117,0.01003728024,0.039610419258089974
2020-01-02,甘肃,0.0117,0.01003728024,0.03822691858583012
2020-01-02,新疆,0.0113,0.009694125359999998,0.039654126569230196
2020-01-02,青海,0.0027,0.00231629544,0.03870943948661385
2020-01-02,宁夏,0.0018,0.00154419696,0.022649158245207465
2020-01-03,广东,0.2007,0.20755254023999997,0.1829301429931253
2020-01-03,四川,0.06860000000000001,0.07094222352,0.08505241999760221
2020-01-03,北京,0.0574,0.059359819679999995,0.27345934343760075
2020-01-03,广西,0.0573,0.05925640535999999,0.12130277453428863
2020-01-03,湖南,0.0556,0.05749836191999999,0.0838144105419667
2020-01-03,河南,0.0506,0.05232764592,0.05447958971369078
2020-01-03,湖北,0.0414,0.042813528479999995,0.07235681676525266
2020-01-03,重庆,0.0383,0.039607684559999995,0.12992814189599236
2020-01-03,河北,0.0351,0.036298426319999993,0.048037301748210096
2020-01-03,贵州,0.0331,0.03423013991999999,0.09561491597765362
2020-01-03,江西,0.0313,0.03236868216,0.07003025066528201
2020-01-03,山东,0.0282,0.02916283824,0.029025720735246695
2020-01-03,上海,0.0258,0.026680894559999998,0.11007968776044028
2020-01-03,江苏,0.0257,0.02657748024,0.033100619281880114
2020-01-03,浙江,0.0246,0.025439922719999997,0.04434359895415722
2020-01-03,陕西,0.0238,0.02461260816,0.06417153745072274
2020-01-03,黑龙江,0.023,0.023785293599999997,0.0627795644944176
2020-01-03,辽宁,0.0218,0.02254432176,0.05171546294129792
2020-01-03,山西,0.0213,0.022027250159999998,0.059495320971815195
2020-01-03,安徽,0.0213,0.022027250159999998,0.034833402112720596
2020-01-03,福建,0.0206,0.02130334992,0.054055696320730776
2020-01-03,云南,0.0204,0.02109652128,0.04394650823872513
2020-01-03,吉林,0.017,0.0175804344,0.06469507733409877
2020-01-03,天津,0.0126,0.013030204319999999,0.08354837342908437
2020-01-03,新疆,0.0105,0.0108585036,0.044417052608327505
2020-01-03,内蒙古,0.0094,0.009720946079999999,0.03836206029992107
2020-01-03,甘肃,0.0083,0.00858338856,0.03268978127820666
2020-01-03,宁夏,0.005,0.005170716,0.07584030273251294
2020-01-03,青海,0.0023,0.0023785293599999997,0.03974947959490624
2020-01-03,西藏,0.0003,0.00031024296,0.009201926738840278
2020-01-04,广东,0.1887,0.22645811519999998,0.19959290957165518
2020-01-04,四川,0.06559999999999999,0.07872629759999998,0.09438472317467927
2020-01-04,湖南,0.06280000000000001,0.0753660288,0.10985981283344509
2020-01-04,北京,0.0594,0.0712857024,0.32839960565716125
2020-01-04,广西,0.0556,0.06672533759999999,0.13659229805527123
2020-01-04,河南,0.051100000000000007,0.0613249056,0.06384685642894326
2020-01-04,湖北,0.0459,0.055084406399999994,0.09309516038533039
2020-01-04,重庆,0.0368,0.044163532799999995,0.14487304218893005
2020-01-04,贵州,0.036000000000000004,0.043203456,0.12068004469273744
2020-01-04,河北,0.0345,0.041403312,0.05479310244431798
2020-01-04,江西,0.03,0.036002879999999994,0.07789290582202893
2020-01-04,浙江,0.029900000000000006,0.0358828704,0.06254640125501133
2020-01-04,山东,0.0286,0.034322745599999996,0.03416136730087069
2020-01-04,上海,0.027000000000000003,0.032402592,0.1336861926412463
2020-01-04,江苏,0.0253,0.030362428799999994,0.03781454024634774
2020-01-04,陕西,0.0246,0.029522361599999995,0.07697255490895437
2020-01-04,安徽,0.0225,0.027002159999999994,0.04270061357454613
2020-01-04,黑龙江,0.022400000000000003,0.0268821504,0.07095349433842743
2020-01-04,福建,0.022000000000000002,0.026402112,0.06699343313879726
2020-01-04,云南,0.0218,0.026162092799999995,0.05449868305384855
2020-01-04,辽宁,0.0194,0.0232818624,0.053407341545661
2020-01-04,山西,0.0177,0.0212416992,0.05737355787540346
2020-01-04,吉林,0.0168,0.020161612799999996,0.07419367858601691
2020-01-04,天津,0.0119,0.014281142399999999,0.09156926391382406
2020-01-04,甘肃,0.0111,0.0133210656,0.050733194450262975
2020-01-04,内蒙古,0.0107,0.012841027199999997,0.05067492975532753
2020-01-04,新疆,0.0094,0.011280902399999999,0.04614488826712808
2020-01-04,宁夏,0.0033,0.0039603168,0.058087047331289686
2020-01-04,青海,0.0031,0.0037202975999999994,0.06217282663190613
2020-01-04,西藏,0.0002,0.00024001919999999997,0.0071190627317217845
2020-01-05,广东,0.1872,0.22586496192000002,0.1990701233209942
2020-01-05,四川,0.0682,0.08228627352,0.09865276767773648
2020-01-05,北京,0.0633,0.07637420988,0.3518413870180126
2020-01-05,广西,0.0614,0.07408177704,0.1516515394882293
2020-01-05,湖南,0.0546,0.06587728056,0.09602822156788432
2020-01-05,河南,0.054000000000000006,0.06515335440000002,0.0678327479437793
2020-01-05,湖北,0.040999999999999995,0.049468287599999994,0.08360366334291025
2020-01-05,重庆,0.0381,0.045969311160000005,0.15079667619069492
2020-01-05,贵州,0.0367,0.04428015012000001,0.1236875701675978
2020-01-05,江西,0.0345,0.041625754200000004,0.09005809956513273
2020-01-05,河北,0.0323,0.03897135828000001,0.051574657279356305
