日期,省,比例,规模,规模/人口
2020-01-01,上海,0.0049,0.010069353,0.0415440056440766
2020-01-01,云南,0.002,0.00410994,0.008561483178835538
2020-01-01,北京,0.106,0.21782681999999998,1.003486525084074
2020-01-01,吉林,0.07250000000000001,0.148985325,0.5482581888033914
2020-01-01,四川,0.0031,0.006370407,0.007637461935019782
2020-01-01,天津,0.0192,0.039455423999999996,0.2529842523724032
2020-01-01,宁夏,0.08200000000000002,0.16850754000000004,2.4715460772378597
2020-01-01,山东,0.0224,0.046031327999999996,0.04581489841986456
2020-01-01,山西,0.09599999999999997,0.19727711999999994,0.5328429781084986
2020-01-01,广东,0.0044,0.009041868,0.007969212057112639
2020-01-01,新疆,0.0012,0.0024659639999999997,0.0100871037808784
2020-01-01,江苏,0.0045,0.009247364999999999,0.011517025145404952
2020-01-01,河北,0.1192,0.244952424,0.3241697973876103
2020-01-01,河南,0.010700000000000001,0.021988179000000004,0.022892429984383136
2020-01-01,浙江,0.0026,0.005342922,0.009313093951542619
2020-01-01,海南,0.0041,0.008425377000000001,0.09101038066021432
2020-01-01,湖北,0.0017,0.0034934489999999996,0.00590408822038195
2020-01-01,湖南,0.0013,0.002671461,0.003894144485583511
2020-01-01,甘肃,0.0275,0.056511675,0.21522435836402343
2020-01-01,福建,0.0011,0.002260467,0.0057357701091093624
2020-01-01,贵州,0.001,0.00205497,0.00574013966480447
2020-01-01,辽宁,0.1304,0.267968088,0.6147043974950107
2020-01-01,重庆,0.0029,0.005959412999999999,0.019549122007065933
2020-01-01,陕西,0.1229,0.25255581299999996,0.6584793739440585
2020-01-01,黑龙江,0.09200000000000001,0.18905724000000002,0.499002929764827
2020-01-02,上海,0.0077,0.015352500239999999,0.06334114581356393
2020-01-02,云南,0.0025,0.004984578,0.010383455890011457
2020-01-02,北京,0.12960000000000002,0.25840052352000004,1.1904018220850419
2020-01-02,吉林,0.060599999999999994,0.12082617071999997,0.44463397666177223
2020-01-02,四川,0.0064,0.012760519679999999,0.01529854895096511
2020-01-02,天津,0.026000000000000002,0.051839611199999996,0.3323904283149526
2020-01-02,宁夏,0.051,0.10168539119999999,1.4914473840918756
2020-01-02,安徽,0.0017,0.0033895130399999997,0.00536010032260105
2020-01-02,山东,0.0339,0.06759087768,0.06727307965172524
2020-01-02,山西,0.0854,0.17027318447999998,0.45990569362702066
2020-01-02,广东,0.0085,0.0169475652,0.014937039661554732
2020-01-02,江苏,0.0066,0.013159285919999998,0.016389082385762144
2020-01-02,河北,0.11969999999999997,0.23866159463999992,0.31584451998994206
2020-01-02,河南,0.024,0.047851948799999995,0.0498198321707444
2020-01-02,浙江,0.004,0.0079753248,0.013901559700191737
2020-01-02,海南,0.0054,0.01076668848,0.11630107673695125
2020-01-02,湖北,0.0026,0.0051839611199999995,0.008761130843332769
2020-01-02,湖南,0.0018,0.0035888961599999996,0.0052314745342701375
2020-01-02,甘肃,0.0272,0.054232208639999994,0.206543025086548
2020-01-02,福建,0.0022,0.0043864286399999996,0.011130242679522962
2020-01-02,辽宁,0.1113,0.22191341255999997,0.5090574462872479
2020-01-02,重庆,0.0048,0.009570389759999999,0.03139448752308565
2020-01-02,陕西,0.095,0.189413964,0.4938519804768162
2020-01-02,黑龙江,0.08580000000000002,0.17107071696,0.4515288013302716
2020-01-03,上海,0.0071,0.021219579720000003,0.08754746602414411
2020-01-03,云南,0.0029,0.008667152280000001,0.018054686553484016
2020-01-03,北京,0.1189,0.3553532434800001,1.637044471737228
2020-01-03,吉林,0.0626,0.18709094232000004,0.6884848637131409
2020-01-03,四川,0.0046,0.013747896720000001,0.016482312336650283
2020-01-03,天津,0.0207,0.06186553524000001,0.39667565555270595
2020-01-03,宁夏,0.0731,0.21847201092000004,3.2043886082224735
2020-01-03,安徽,0.0031000000000000003,0.009264886920000003,0.01465128553355684
2020-01-03,山东,0.0238,0.07113042216000001,0.07079598194130927
2020-01-03,山西,0.0917,0.27406133244,0.7402361539022514
2020-01-03,广东,0.0066,0.019725243120000003,0.017385195769434165
2020-01-03,江苏,0.006,0.017932039200000003,0.02233325345920566
2020-01-03,河北,0.1176,0.35146796832000005,0.46513236414647385
2020-01-03,河南,0.0199,0.05947459668000001,0.06192045463820928
