日期,市,省,比例
2020-01-01,重庆,重庆,0.1078
2020-01-01,泸州,四川,0.0532
2020-01-01,金华,浙江,0.0492
2020-01-01,曲靖,云南,0.0463
2020-01-01,温州,浙江,0.0365
2020-01-01,东莞,广东,0.0355
2020-01-01,昭通,云南,0.0355
2020-01-01,昆明,云南,0.0333
2020-01-01,宁波,浙江,0.0332
2020-01-01,广州,广东,0.0285
2020-01-01,怀化,湖南,0.0249
2020-01-01,深圳,广东,0.0241
2020-01-01,成都,四川,0.021
2020-01-01,佛山,广东,0.0184
2020-01-01,泉州,福建,0.0178
2020-01-01,绍兴,浙江,0.0163
2020-01-01,台州,浙江,0.0158
2020-01-01,百色,广西,0.0138
2020-01-01,杭州,浙江,0.0134
2020-01-01,嘉兴,浙江,0.0129
2020-01-01,惠州,广东,0.0124
2020-01-01,上海,上海,0.0123
2020-01-01,厦门,福建,0.0111
2020-01-01,中山,广东,0.0108
2020-01-01,河池,广西,0.0102
2020-01-01,苏州,江苏,0.0099
2020-01-01,柳州,广西,0.0096
2020-01-01,湖州,浙江,0.0089
2020-01-01,福州,福建,0.0088
2020-01-01,北京,北京,0.008100000000000001
2020-01-01,湘西土家族苗族自治州,湖南,0.008
2020-01-01,长沙,湖南,0.0079
2020-01-01,武汉,湖北,0.0072
2020-01-01,无锡,江苏,0.0067
2020-01-01,汕头,广东,0.006
2020-01-01,邵阳,湖南,0.0053
2020-01-01,南宁,广西,0.0053
2020-01-01,江门,广东,0.005
2020-01-01,莆田,福建,0.0049
2020-01-01,桂林,广西,0.0046
2020-01-01,红河哈尼族彝族自治州,云南,0.0039
2020-01-01,西安,陕西,0.0038
2020-01-01,肇庆,广东,0.0037
2020-01-01,郑州,河南,0.0036
2020-01-01,宜宾,四川,0.0035
2020-01-01,南昌,江西,0.0035
2020-01-01,潮州,广东,0.0034
2020-01-01,丽水,浙江,0.0033
2020-01-01,漳州,福建,0.0031
2020-01-01,揭阳,广东,0.0031
2020-01-01,天津,天津,0.003
2020-01-01,常州,江苏,0.0029
2020-01-01,南通,江苏,0.0028000000000000004
2020-01-01,南京,江苏,0.0028000000000000004
2020-01-01,哈尔滨,黑龙江,0.0027
2020-01-01,广安,四川,0.0027
2020-01-01,娄底,湖南,0.0023
2020-01-01,北海,广西,0.0023
2020-01-01,玉溪,云南,0.0023
2020-01-01,内江,四川,0.0022
2020-01-01,常德,湖南,0.0021
2020-01-01,珠海,广东,0.002
2020-01-01,湛江,广东,0.002
2020-01-01,三亚,海南,0.002
2020-01-01,南充,四川,0.0019
2020-01-01,济南,山东,0.0018
2020-01-01,清远,广东,0.0018
2020-01-01,文山壮族苗族自治州,云南,0.0017
2020-01-01,合肥,安徽,0.0017
2020-01-01,海口,海南,0.0017
2020-01-01,自贡,四川,0.0017
2020-01-01,乐山,四川,0.0016
2020-01-01,玉林,广西,0.0016
2020-01-01,宜春,江西,0.0016
2020-01-01,丽江,云南,0.0015
2020-01-01,徐州,江苏,0.0015
2020-01-01,大理白族自治州,云南,0.0015
2020-01-01,衢州,浙江,0.0015
2020-01-01,赣州,江西,0.0015
2020-01-01,贵港,广西,0.0015
2020-01-01,岳阳,湖南,0.0015
2020-01-01,绵阳,四川,0.0015
2020-01-01,西双版纳傣族自治州,云南,0.0015
2020-01-01,上饶,江西,0.0015
2020-01-01,衡阳,湖南,0.0015
2020-01-01,石家庄,河北,0.0014000000000000002
2020-01-01,青岛,山东,0.0013
2020-01-01,株洲,湖南,0.0013
2020-01-01,黄冈,湖北,0.0013
2020-01-01,茂名,广东,0.0013
2020-01-01,镇江,江苏,0.0013
2020-01-01,河源,广东,0.0012
2020-01-01,资阳,四川,0.0012
2020-01-01,达州,四川,0.0012
2020-01-01,湘潭,湖南,0.0011
2020-01-01,永州,湖南,0.0011
2020-01-01,贺州,广西,0.0011
2020-01-01,恩施土家族苗族自治州,湖北,0.001
2020-01-01,大连,辽宁,0.001
2020-01-01,凉山彝族自治州,四川,0.001
2020-01-02,重庆,重庆,0.0759
2020-01-02,金华,浙江,0.0603
2020-01-02,温州,浙江,0.0559
2020-01-02,东莞,广东,0.0451
2020-01-02,宁波,浙江,0.041100000000000005
2020-01-02,广州,广东,0.0308
2020-01-02,深圳,广东,0.0297
2020-01-02,昆明,云南,0.0269
2020-01-02,泸州,四川,0.0244
2020-01-02,泉州,福建,0.0231
2020-01-02,台州,浙江,0.0227
2020-01-02,成都,四川,0.0225
2020-01-02,佛山,广东,0.0222
2020-01-02,曲靖,云南,0.0221
2020-01-02,绍兴,浙江,0.0218
2020-01-02,杭州,浙江,0.018500000000000003
2020-01-02,昭通,云南,0.016200000000000003
2020-01-02,嘉兴,浙江,0.015700000000000002
2020-01-02,上海,上海,0.0153
2020-01-02,惠州,广东,0.0151
2020-01-02,厦门,福建,0.0146
2020-01-02,中山,广东,0.0139
2020-01-02,苏州,江苏,0.0132
2020-01-02,怀化,湖南,0.0124
2020-01-02,福州,福建,0.0123
2020-01-02,湖州,浙江,0.011200000000000002
2020-01-02,北京,北京,0.0105
2020-01-02,长沙,湖南,0.0099
2020-01-02,武汉,湖北,0.0085
2020-01-02,无锡,江苏,0.0084
2020-01-02,江门,广东,0.0077
2020-01-02,汕头,广东,0.006999999999999999
2020-01-02,百色,广西,0.006
2020-01-02,莆田,福建,0.0054
2020-01-02,南宁,广西,0.005
2020-01-02,邵阳,湖南,0.0048
2020-01-02,潮州,广东,0.0048
2020-01-02,河池,广西,0.0048
2020-01-02,肇庆,广东,0.0048
2020-01-02,西安,陕西,0.0048
2020-01-02,南昌,江西,0.004699999999999999
2020-01-02,天津,天津,0.0046
2020-01-02,柳州,广西,0.0045000000000000005
2020-01-02,南通,江苏,0.0044
2020-01-02,漳州,福建,0.0043
2020-01-02,揭阳,广东,0.0042
2020-01-02,南京,江苏,0.0041
2020-01-02,湘西土家族苗族自治州,湖南,0.004
2020-01-02,丽水,浙江,0.004
2020-01-02,常州,江苏,0.0037
2020-01-02,郑州,河南,0.0037
2020-01-02,桂林,广西,0.0034
2020-01-02,哈尔滨,黑龙江,0.0034
2020-01-02,红河哈尼族彝族自治州,云南,0.0027
2020-01-02,宜宾,四川,0.0026
2020-01-02,内江,四川,0.0026
2020-01-02,北海,广西,0.0024
2020-01-02,娄底,湖南,0.0024
2020-01-02,珠海,广东,0.0022
2020-01-02,徐州,江苏,0.0021
2020-01-02,常德,湖南,0.0021
2020-01-02,广安,四川,0.0021
2020-01-02,石家庄,河北,0.0021
2020-01-02,南充,四川,0.0021
2020-01-02,济南,山东,0.0021
2020-01-02,湛江,广东,0.0021
2020-01-02,青岛,山东,0.002
2020-01-02,清远,广东,0.002
2020-01-02,海口,海南,0.002
2020-01-02,玉溪,云南,0.0019
2020-01-02,镇江,江苏,0.0019
