日期,市,省,比例
2020-01-01,湛江,广东,0.078
2020-01-01,北京,北京,0.0684
2020-01-01,广州,广东,0.0422
2020-01-01,重庆,重庆,0.0358
2020-01-01,上海,上海,0.0296
2020-01-01,成都,四川,0.0288
2020-01-01,深圳,广东,0.0238
2020-01-01,西安,陕西,0.0213
2020-01-01,郑州,河南,0.0208
2020-01-01,长沙,湖南,0.0204
2020-01-01,武汉,湖北,0.0158
2020-01-01,天津,天津,0.0144
2020-01-01,南宁,广西,0.0126
2020-01-01,哈尔滨,黑龙江,0.0121
2020-01-01,贵阳,贵州,0.012
2020-01-01,石家庄,河北,0.0119
2020-01-01,太原,山西,0.0117
2020-01-01,长春,吉林,0.0113
2020-01-01,佛山,广东,0.0113
2020-01-01,杭州,浙江,0.0111
2020-01-01,沈阳,辽宁,0.011
2020-01-01,茂名,广东,0.0101
2020-01-01,昆明,云南,0.0097
2020-01-01,南昌,江西,0.0095
2020-01-01,北海,广西,0.0092
2020-01-01,南京,江苏,0.0086
2020-01-01,乌鲁木齐,新疆,0.0077
2020-01-01,珠海,广东,0.0069
2020-01-01,东莞,广东,0.0066
2020-01-01,保定,河北,0.006500000000000001
2020-01-01,桂林,广西,0.0064
2020-01-01,济南,山东,0.0062
2020-01-01,厦门,福建,0.0058
2020-01-01,合肥,安徽,0.005600000000000001
2020-01-01,遵义,贵州,0.0053
2020-01-01,兰州,甘肃,0.005
2020-01-01,呼和浩特,内蒙古,0.0048
2020-01-01,苏州,江苏,0.0048
2020-01-01,宁波,浙江,0.0048
2020-01-01,廊坊,河北,0.0048
2020-01-01,达州,四川,0.0046
2020-01-01,玉林,广西,0.0045000000000000005
2020-01-01,福州,福建,0.0045000000000000005
2020-01-01,衡阳,湖南,0.0045000000000000005
2020-01-01,青岛,山东,0.0041
2020-01-01,中山,广东,0.0041
2020-01-01,巴中,四川,0.0041
2020-01-01,大连,辽宁,0.004
2020-01-01,沧州,河北,0.0039
2020-01-01,咸阳,陕西,0.0037
2020-01-02,北京,北京,0.0564
2020-01-02,湛江,广东,0.0544
2020-01-02,重庆,重庆,0.0413
2020-01-02,广州,广东,0.041100000000000005
2020-01-02,成都,四川,0.0266
2020-01-02,上海,上海,0.0249
