日期,市,省,比例
2020-01-01,酒泉,甘肃,0.0644
2020-01-01,北京,北京,0.0383
2020-01-01,成都,四川,0.0372
2020-01-01,西安,陕西,0.0371
2020-01-01,重庆,重庆,0.0336
2020-01-01,武威,甘肃,0.0336
2020-01-01,兰州,甘肃,0.0316
2020-01-01,张掖,甘肃,0.0222
2020-01-01,海西蒙古族藏族自治州,青海,0.0217
2020-01-01,郑州,河南,0.0196
2020-01-01,天水,甘肃,0.0194
2020-01-01,广州,广东,0.0181
2020-01-01,定西,甘肃,0.0178
2020-01-01,周口,河南,0.0169
2020-01-01,南充,四川,0.0163
2020-01-01,上海,上海,0.0152
2020-01-01,商丘,河南,0.0146
2020-01-01,驻马店,河南,0.0141
2020-01-01,南阳,河南,0.013500000000000002
2020-01-01,咸阳,陕西,0.0131
2020-01-01,陇南,甘肃,0.0119
2020-01-01,绵阳,四川,0.0098
2020-01-01,阿拉善盟,内蒙古,0.0084
2020-01-01,天津,天津,0.0079
2020-01-01,武汉,湖北,0.0078
2020-01-01,平凉,甘肃,0.0077
2020-01-01,银川,宁夏,0.0077
2020-01-01,徐州,江苏,0.0077
2020-01-01,三亚,海南,0.0077
2020-01-01,菏泽,山东,0.0075
2020-01-01,嘉峪关,甘肃,0.0071
2020-01-01,宝鸡,陕西,0.006999999999999999
2020-01-01,遂宁,四川,0.0067
2020-01-01,渭南,陕西,0.0067
2020-01-01,深圳,广东,0.006500000000000001
2020-01-01,杭州,浙江,0.0064
2020-01-01,白银,甘肃,0.0064
2020-01-01,长沙,湖南,0.0063
2020-01-01,昆明,云南,0.0062
2020-01-01,石家庄,河北,0.0062
2020-01-01,南通,江苏,0.006
2020-01-01,阜阳,安徽,0.005699999999999999
2020-01-01,许昌,河南,0.005699999999999999
2020-01-01,广安,四川,0.0052
2020-01-01,开封,河南,0.0051
2020-01-01,洛阳,河南,0.0049
2020-01-01,广元,四川,0.0049
2020-01-01,西宁,青海,0.0048
2020-01-01,汉中,陕西,0.0048
2020-01-01,内江,四川,0.004699999999999999
2020-01-01,南京,江苏,0.0045000000000000005
2020-01-01,庆阳,甘肃,0.0045000000000000005
2020-01-01,新乡,河南,0.0045000000000000005
2020-01-01,沧州,河北,0.0044
2020-01-01,保定,河北,0.0044
2020-01-01,德阳,四川,0.0044
2020-01-01,合肥,安徽,0.0042
2020-01-01,运城,山西,0.0038
2020-01-01,黄冈,湖北,0.0038
2020-01-01,济南,山东,0.0037
2020-01-01,雅安,四川,0.0037
2020-01-01,苏州,江苏,0.0036
2020-01-01,达州,四川,0.0036
2020-01-01,资阳,四川,0.0036
2020-01-01,青岛,山东,0.0035
2020-01-01,济宁,山东,0.0035
2020-01-01,固原,宁夏,0.0035
2020-01-01,临夏回族自治州,甘肃,0.0034
2020-01-01,信阳,河南,0.0034
2020-01-01,中卫,宁夏,0.0033
2020-01-01,荆州,湖北,0.0031
2020-01-01,宿州,安徽,0.0031
2020-01-01,温州,浙江,0.0031
2020-01-01,太原,山西,0.003
2020-01-01,金昌,甘肃,0.003
2020-01-01,濮阳,河南,0.0028000000000000004
2020-01-01,榆林,陕西,0.0028000000000000004
2020-01-01,邢台,河北,0.0028000000000000004
2020-01-01,邯郸,河北,0.0027
2020-01-01,漯河,河南,0.0027
2020-01-01,海东,青海,0.0026
2020-01-01,哈尔滨,黑龙江,0.0026
2020-01-01,临沂,山东,0.0026
2020-01-01,唐山,河北,0.0026
2020-01-01,安阳,河南,0.0026
2020-01-01,乐山,四川,0.0025
2020-01-01,自贡,四川,0.0025
2020-01-01,平顶山,河南,0.0024
2020-01-01,泰安,山东,0.0024
2020-01-01,眉山,四川,0.0023
2020-01-01,沈阳,辽宁,0.0023
2020-01-01,吴忠,宁夏,0.0023
2020-01-01,廊坊,河北,0.0022
2020-01-01,襄阳,湖北,0.0022
2020-01-01,厦门,福建,0.0022
2020-01-01,吕梁,山西,0.0022
2020-01-01,无锡,江苏,0.0022
2020-01-01,长春,吉林,0.0021
2020-01-01,三门峡,河南,0.0021
2020-01-01,临汾,山西,0.0021
2020-01-02,酒泉,甘肃,0.0462
2020-01-02,成都,四川,0.040199999999999986
2020-01-02,北京,北京,0.0401
2020-01-02,西安,陕西,0.0391
2020-01-02,武威,甘肃,0.0332
2020-01-02,重庆,重庆,0.0325
2020-01-02,兰州,甘肃,0.0252
2020-01-02,天水,甘肃,0.0248
2020-01-02,张掖,甘肃,0.0234
2020-01-02,定西,甘肃,0.0206
2020-01-02,郑州,河南,0.0203
2020-01-02,南充,四川,0.0174
2020-01-02,周口,河南,0.0171
2020-01-02,上海,上海,0.016399999999999998
2020-01-02,驻马店,河南,0.0146
2020-01-02,商丘,河南,0.0137
2020-01-02,广州,广东,0.013500000000000002
2020-01-02,南阳,河南,0.013500000000000002
2020-01-02,陇南,甘肃,0.0123
2020-01-02,绵阳,四川,0.0116
2020-01-02,咸阳,陕西,0.0111
2020-01-02,海西蒙古族藏族自治州,青海,0.0103
2020-01-02,三亚,海南,0.01
2020-01-02,平凉,甘肃,0.0094
2020-01-02,遂宁,四川,0.0087
2020-01-02,洛阳,河南,0.0078
2020-01-02,武汉,湖北,0.0076
2020-01-02,徐州,江苏,0.0074
2020-01-02,银川,宁夏,0.0074
2020-01-02,深圳,广东,0.006999999999999999
2020-01-02,菏泽,山东,0.0069
2020-01-02,长沙,湖南,0.0066
2020-01-02,白银,甘肃,0.0066
