日期,市,省,比例
2020-01-01,孝感,湖北,0.1578
2020-01-01,黄冈,湖北,0.1267
2020-01-01,鄂州,湖北,0.0698
2020-01-01,咸宁,湖北,0.06280000000000001
2020-01-01,荆州,湖北,0.0506
2020-01-01,黄石,湖北,0.0473
2020-01-01,襄阳,湖北,0.032400000000000005
2020-01-01,随州,湖北,0.0298
2020-01-01,仙桃,湖北,0.028
2020-01-01,荆门,湖北,0.0268
2020-01-01,宜昌,湖北,0.0244
2020-01-01,信阳,河南,0.0145
2020-01-01,长沙,湖南,0.0141
2020-01-01,十堰,湖北,0.0139
2020-01-01,上海,上海,0.0137
2020-01-01,天门,湖北,0.0136
2020-01-01,北京,北京,0.0134
2020-01-01,恩施土家族苗族自治州,湖北,0.0133
2020-01-01,潜江,湖北,0.0108
2020-01-01,广州,广东,0.0106
2020-01-01,深圳,广东,0.0104
2020-01-01,郑州,河南,0.0079
2020-01-01,重庆,重庆,0.0076
2020-01-01,杭州,浙江,0.005699999999999999
2020-01-01,岳阳,湖南,0.0051
2020-01-01,成都,四川,0.0049
2020-01-01,合肥,安徽,0.0049
2020-01-01,南昌,江西,0.0048
2020-01-01,西安,陕西,0.0045000000000000005
2020-01-01,南阳,河南,0.0045000000000000005
2020-01-01,南京,江苏,0.0044
2020-01-01,九江,江西,0.0043
2020-01-01,苏州,江苏,0.0042
2020-01-01,驻马店,河南,0.0041
2020-01-01,东莞,广东,0.0031
2020-01-01,天津,天津,0.0028000000000000004
2020-01-01,温州,浙江,0.0028000000000000004
2020-01-01,厦门,福建,0.0026
2020-01-01,宁波,浙江,0.0026
2020-01-01,金华,浙江,0.0022
2020-01-01,无锡,江苏,0.0021
2020-01-01,昆明,云南,0.0021
2020-01-01,佛山,广东,0.0021
2020-01-01,安庆,安徽,0.002
2020-01-01,阜阳,安徽,0.002
2020-01-01,石家庄,河北,0.0019
2020-01-01,福州,福建,0.0018
2020-01-01,青岛,山东,0.0018
2020-01-01,常德,湖南,0.0018
2020-01-01,周口,河南,0.0018
2020-01-01,六安,安徽,0.0017
2020-01-01,济南,山东,0.0016
2020-01-01,株洲,湖南,0.0016
2020-01-01,洛阳,河南,0.0015
2020-01-01,三亚,海南,0.0015
2020-01-01,嘉兴,浙江,0.0014000000000000002
2020-01-01,海口,海南,0.0014000000000000002
2020-01-01,哈尔滨,黑龙江,0.0014000000000000002
2020-01-01,商丘,河南,0.0014000000000000002
2020-01-01,邯郸,河北,0.0014000000000000002
2020-01-01,漯河,河南,0.0013
2020-01-01,宜春,江西,0.0013
2020-01-01,南通,江苏,0.0013
2020-01-01,泉州,福建,0.0013
2020-01-01,贵阳,贵州,0.0013
2020-01-01,桂林,广西,0.0013
2020-01-01,台州,浙江,0.0012
2020-01-01,南宁,广西,0.0012
2020-01-01,衡阳,湖南,0.0012
2020-01-01,许昌,河南,0.0012
2020-01-01,临沂,山东,0.0012
2020-01-01,徐州,江苏,0.0011
2020-01-01,珠海,广东,0.0011
2020-01-01,新乡,河南,0.0011
2020-01-01,大连,辽宁,0.0011
2020-01-01,绍兴,浙江,0.0011
2020-01-01,太原,山西,0.0011
2020-01-01,湘潭,湖南,0.0011
2020-01-01,惠州,广东,0.0011
2020-01-01,保定,河北,0.001
