日期,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,武汉,江苏,江西,河北,河南,浙江,海南,温州,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙江
2019-01-12,8.6778216,1.9575756,2.7832248,11.2168152,1.9900728,4.2509124,3.5249904,0.8901576,4.8330108,5.8416228,2.8572912,11.1789072,2.5486812,0.7503192,5.0520672,10.7199288,2.858166,8.4924288,5.1347844,8.215344,0.9798732,1.5550704,3.3752376,3.3573528,1.656126,2.5191,0.2451708,2.4833952,2.9200824,3.1472388,3.2684472,0.5727348,1.8014076
2019-01-13,6.5288268,1.9041156,2.5922916,7.7077332,1.8149832,3.911814,3.1009392,0.8036496,4.5513576,5.2947432,2.5595352,10.823382,2.3557716,0.7604604,4.0588128,9.8576352,2.5278156,8.483292,4.7669796,7.5818916,0.9631224,1.409238,3.1560516,3.139722,1.6142976,2.370708,0.2341548,2.3247972,2.5866864,2.8753056,3.0023136,0.5353452,1.614492
2019-01-14,6.9865416,1.9657728,2.7378648,7.9039152,1.8254808,4.1738652,3.6767196,0.8220204,5.3509248,5.8011876,2.7065664,11.1545424,2.4329484,0.7643808,4.0048344,11.1707424,2.61549,11.5326504,5.3629128,8.2712988,1.0061496,1.5241284,3.3154596,3.2768712,1.6521084,2.551176,0.2270916,2.3570352,2.844558,3.1105296,3.212946,0.5298696,1.7330112
2019-01-15,6.6785472,1.9761732,2.6727408,7.7890572,1.6601436,4.0420296,3.2685768,0.7909164,4.8173292,5.946858,2.634768,11.6339976,2.344302,0.7719624,3.7246716,10.4076252,2.4924348,9.3710196,5.124708,8.3889108,1.0439928,1.5791436,3.240648,3.2707152,1.554552,2.597508,0.23652,2.3266116,2.6890056,2.9074464,3.1179492,0.5159376,1.6200324
2019-01-16,6.931332,2.0065644,2.7242568,8.2920996,1.7197272,4.1091948,3.3761772,0.8667972,4.660092,5.826978,2.6718984,13.225194,2.3871024,0.8766144,3.990384,10.4908932,2.5620624,9.18864,4.9996116,9.0118008,1.062882,1.7707896,3.4417872,3.3700212,1.5871788,2.7750924,0.2462076,2.3554476,2.73375,2.982744,3.3426756,0.5546232,1.6267068
2019-01-17,7.227792,2.138886,2.7268164,8.493012,1.6703496,4.255416,3.5305308,0.9095976,4.7510388,5.8833864,2.7438912,14.6631708,2.3895648,0.8993268,4.2154992,11.0229984,2.486862,9.5797728,5.168934,9.7356168,1.071306,2.024838,3.4942104,3.4189128,1.5847488,2.9681316,0.2474064,2.4138972,2.7585684,3.0148848,3.4640784,0.5703696,1.6340292
2019-01-18,7.8217164,2.1722904,2.8245348,9.471816,1.765152,4.4736624,3.7126836,0.9011412,4.9652352,6.0312276,2.78802,15.036516,2.563002,0.8809884,4.4281404,11.2899744,2.5381512,9.1825164,5.3543916,10.2580668,1.0955412,2.2596732,3.6059904,3.5567748,1.615626,3.1173012,0.2478276,2.4932124,2.772144,3.1171068,3.4809588,0.5804784,1.6610508
2019-01-19,9.6037812,2.2614876,2.8425492,12.126834,1.807272,4.7710296,4.0998636,0.8953416,5.1813432,6.1921908,2.879226,17.4976848,2.875014,0.9496116,5.2943544,12.255624,2.7108432,9.030204,5.5113048,11.4808104,1.1293668,2.52963,3.8576736,3.7244448,1.622592,3.3571584,0.2498364,2.664738,2.7957636,3.5240508,3.6173628,0.5970348,1.6255404
2019-01-20,7.699374,2.3141052,2.7127224,9.4347828,1.6226568,4.7034756,3.8555352,0.832518,4.8656052,5.9769576,2.758698,18.9392904,2.7965088,1.0351476,4.5848268,12.0066624,2.5299216,9.2825028,5.204412,12.2952816,1.146312,2.7336852,3.6143172,3.5147844,1.53819,3.4265268,0.2562192,2.6406648,2.8659096,3.3097896,3.4952472,0.555174,1.526364
2019-01-21,8.1895212,2.447658,2.8944216,9.63495,1.6413192,4.882032,4.12128,0.8344944,5.36058,6.2779212,2.7950184,22.3543152,2.8345788,0.9608544,4.5717696,13.4599968,2.6133192,11.2099788,5.3850096,14.4093816,1.237356,3.2940756,3.6954144,3.6120492,1.5485256,3.860136,0.2510352,2.6931852,2.982906,3.476682,3.5796816,0.5174928,1.6074936
