日期,省,比例,规模,规模/人口
2020-01-01,上海,0.0058,0.041260091039999995,0.17023034697868614
2020-01-01,云南,0.0012,0.00853657056,0.017782669638579315
2020-01-01,内蒙古,0.0327,0.23262154776,0.9180013723756906
2020-01-01,北京,0.4112,2.92519817856,13.475828896485005
2020-01-01,吉林,0.0047,0.033434901360000005,0.12303868493392656
2020-01-01,四川,0.0032,0.02276418816,0.027291917228150105
2020-01-01,天津,0.1751,1.24562792088,7.9868422728904855
2020-01-01,宁夏,0.0011,0.00782518968,0.11477419263996246
2020-01-01,安徽,0.003,0.021341426400000002,0.033748855715098995
2020-01-01,山东,0.11369999999999998,0.8088400605599999,0.8050370654627539
2020-01-01,山西,0.06380000000000001,0.4538610014400001,1.22587276038192
2020-01-01,广东,0.006100000000000001,0.04339423368000001,0.03824628387096775
2020-01-01,广西,0.0026,0.018495902879999998,0.03786264663254862
2020-01-01,新疆,0.001,0.0071138088,0.02909926002282517
2020-01-01,江苏,0.0129,0.09176813352,0.11429157401018769
2020-01-01,江西,0.0011,0.00782518968,0.016929944570649707
2020-01-01,河南,0.04549999999999999,0.32367830039999995,0.33698938094742314
2020-01-01,浙江,0.0058,0.041260091039999995,0.07191928018127941
2020-01-01,海南,0.0025,0.017784522,0.1921072632215693
2020-01-01,湖北,0.0033,0.02347556904,0.03967478289673822
2020-01-01,湖南,0.0017,0.01209347496,0.01762845829567651
2020-01-01,甘肃,0.0009,0.00640242792,0.024383606415026793
2020-01-01,福建,0.0012,0.00853657056,0.021660925044404974
2020-01-01,辽宁,0.030000000000000002,0.21341426400000002,0.4895608561007502
2020-01-01,重庆,0.0026,0.018495902879999998,0.0606735364761533
2020-01-01,陕西,0.0085,0.06046737480000001,0.1576543363994744
2020-01-01,黑龙江,0.0042,0.02987799696,0.0788608149497189
2020-01-02,上海,0.0087,0.05632610724,0.23238952066606702
2020-01-02,云南,0.002,0.012948530400000002,0.02697329528174149
2020-01-02,内蒙古,0.03310000000000001,0.2142981781200001,0.8456913106550911
2020-01-02,北京,0.3602,2.3320303250400003,10.743217971345649
2020-01-02,吉林,0.0094,0.060858092880000006,0.22395459268500018
2020-01-02,四川,0.0055000000000000005,0.035608458600000004,0.042690874715261964
2020-01-02,天津,0.1398,0.9051022749600001,5.8034257178763795
2020-01-02,宁夏,0.0015,0.0097113978,0.14243972190850554
2020-01-02,安徽,0.0043,0.027839340360000003,0.044024511923587833
2020-01-02,山东,0.11029999999999998,0.7141114515599999,0.710753850370848
2020-01-02,山西,0.0646,0.41823753192000007,1.1296542248031658
2020-01-02,广东,0.0102,0.06603750504000001,0.05820333601269171
2020-01-02,广西,0.0031,0.02007022212,0.04108540863868987
2020-01-02,新疆,0.0018,0.01165367736,0.047669736037992856
2020-01-02,江苏,0.022099999999999998,0.14308126092,0.17819892259599218
2020-01-02,江西,0.0018,0.01165367736,0.025212949438566883
2020-01-02,河南,0.0478,0.30946987656,0.32219664399791775
2020-01-02,浙江,0.0115,0.0744540498,0.12977871675091512
2020-01-02,海南,0.0021,0.01359595692,0.1468626525233322
2020-01-02,湖北,0.0053,0.03431360556,0.057991559168497554
2020-01-02,湖南,0.0029,0.01877536908,0.027368544765458733
2020-01-02,甘肃,0.0018,0.01165367736,0.04438295683834087
2020-01-02,福建,0.0015,0.0097113978,0.024641963461050496
2020-01-02,辽宁,0.0387,0.25055406324,0.574757560250499
