日期,市,省,比例
2020-01-01,台州,浙江,0.1593
2020-01-01,杭州,浙江,0.1063
2020-01-01,丽水,浙江,0.08560000000000001
2020-01-01,宁德,福建,0.0738
2020-01-01,金华,浙江,0.0677
2020-01-01,宁波,浙江,0.0531
2020-01-01,上海,上海,0.0473
2020-01-01,绍兴,浙江,0.0213
2020-01-01,嘉兴,浙江,0.021
2020-01-01,福州,福建,0.015
2020-01-01,苏州,江苏,0.0148
2020-01-01,泉州,福建,0.0136
2020-01-01,上饶,江西,0.0122
2020-01-01,衢州,浙江,0.0105
2020-01-01,广州,广东,0.0103
2020-01-01,北京,北京,0.0098
2020-01-01,重庆,重庆,0.0074
2020-01-01,深圳,广东,0.0072
2020-01-01,湖州,浙江,0.0071
2020-01-01,无锡,江苏,0.0067
2020-01-01,南京,江苏,0.0061
2020-01-01,厦门,福建,0.0061
2020-01-01,舟山,浙江,0.0059
2020-01-01,武汉,湖北,0.0053
2020-01-01,成都,四川,0.004699999999999999
2020-01-01,南通,江苏,0.004699999999999999
2020-01-01,南平,福建,0.004699999999999999
2020-01-01,九江,江西,0.004699999999999999
2020-01-01,合肥,安徽,0.0042
2020-01-01,东莞,广东,0.0041
2020-01-01,常州,江苏,0.004
2020-01-01,宜春,江西,0.0038
2020-01-01,南昌,江西,0.0037
2020-01-01,西安,陕西,0.0037
2020-01-01,阜阳,安徽,0.0037
2020-01-01,抚州,江西,0.0036
2020-01-01,天津,天津,0.0036
2020-01-01,漳州,福建,0.0032
2020-01-01,黄冈,湖北,0.0032
2020-01-01,郑州,河南,0.0032
2020-01-01,长沙,湖南,0.0031
2020-01-01,宿州,安徽,0.003
2020-01-01,昆明,云南,0.0028000000000000004
2020-01-01,佛山,广东,0.0028000000000000004
2020-01-01,周口,河南,0.0026
2020-01-01,亳州,安徽,0.0025
2020-01-01,贵阳,贵州,0.0025
2020-01-01,遵义,贵州,0.0025
2020-01-01,盐城,江苏,0.0024
2020-01-01,徐州,江苏,0.0024
2020-01-01,大连,辽宁,0.0022
2020-01-01,赣州,江西,0.0021
2020-01-01,安庆,安徽,0.002
2020-01-01,黄山,安徽,0.002
2020-01-01,镇江,江苏,0.002
2020-01-01,宿迁,江苏,0.002
2020-01-01,石家庄,河北,0.0019
2020-01-01,毕节,贵州,0.0019
2020-01-01,黄石,湖北,0.0018
2020-01-01,芜湖,安徽,0.0018
2020-01-01,沈阳,辽宁,0.0018
2020-01-01,临沂,山东,0.0018
2020-01-01,三明,福建,0.0017
2020-01-01,景德镇,江西,0.0017
2020-01-01,连云港,江苏,0.0017
2020-01-01,哈尔滨,黑龙江,0.0017
2020-01-01,青岛,山东,0.0016
2020-01-01,沧州,河北,0.0016
2020-01-01,鹰潭,江西,0.0016
2020-01-01,济南,山东,0.0015
2020-01-01,泰州,江苏,0.0015
2020-01-01,莆田,福建,0.0015
2020-01-01,宣城,安徽,0.0014000000000000002
2020-01-01,蚌埠,安徽,0.0014000000000000002
2020-01-01,南宁,广西,0.0014000000000000002
2020-01-01,扬州,江苏,0.0014000000000000002
2020-01-01,长春,吉林,0.0014000000000000002
2020-01-01,信阳,河南,0.0014000000000000002
2020-01-01,惠州,广东,0.0014000000000000002
2020-01-01,襄阳,湖北,0.0013
2020-01-01,滁州,安徽,0.0013
2020-01-01,南阳,河南,0.0013
2020-01-01,吉安,江西,0.0013
2020-01-01,潍坊,山东,0.0012
2020-01-01,恩施土家族苗族自治州,湖北,0.0012
2020-01-01,太原,山西,0.0012
2020-01-01,黔东南苗族侗族自治州,贵州,0.0012
2020-01-01,乌鲁木齐,新疆,0.0012
