日期,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,武汉,江苏,江西,河北,河南,浙江,海南,温州,湖北,湖南,甘肃,福建,西藏,贵州,辽宁,重庆,陕西,青海,黑龙江
2019-01-12,6.2175276,2.4832332,2.5709076,7.6650624,1.8956916,5.3372196,3.3329232,0.8186184,6.2702748,5.5296108,2.7241596,7.4842056,3.0589488,0.4760532,3.7676664,10.864692,3.3102432,11.229192,6.8486148,6.4232352,0.9521064,1.1737872,4.3625304,4.5718668,1.914192,2.2123368,0.1032912,3.3269292,2.6699868,3.7332576,3.7164096,0.4866804,1.9052496
2019-01-13,5.8191372,2.3986368,2.3325084,7.8045444,1.7018424,4.9785192,2.6684964,0.771444,5.6403864,5.0164272,2.5871724,6.8675364,2.8999296,0.474498,3.468582,9.0254736,3.1815504,8.3296512,6.3472572,5.3700732,0.8912916,1.0603224,4.0424508,4.3089408,1.80549,1.944972,0.1101276,3.1539456,2.343978,3.4071516,3.4259112,0.4818204,1.7213148
2019-01-14,7.683174,2.4934716,2.5645248,11.0134404,1.7889012,5.2514568,3.2669568,0.8204328,5.8098708,5.3839404,2.8462428,7.0274952,2.985822,0.493776,4.0992156,9.8800884,3.255228,8.2282392,6.4985976,5.8201092,0.9252144,1.127844,4.330746,4.455486,1.897182,2.061126,0.1201392,3.4115256,2.5699032,3.633174,3.6300636,0.4967244,1.885842
2019-01-15,6.069654,2.514726,2.5345224,8.2183572,1.7273412,5.2536276,2.9362824,0.8046864,5.9324076,5.511564,2.8430028,6.7208616,3.2299884,0.5003532,3.4016436,9.2033172,3.4804404,7.9588656,6.9948684,5.597586,0.9470196,1.1437848,4.4622576,4.7193192,1.852146,2.0799828,0.1120068,3.4553304,2.4296436,3.6859212,3.5632872,0.4606308,1.8482256
2019-01-16,5.7759156,2.5847748,2.6202852,7.8952644,1.780704,5.6608308,2.876634,0.8163828,6.1447896,5.50719,2.8791612,6.9290964,3.7212372,0.484866,3.4406208,9.0147492,3.893184,8.111016,7.5010536,5.5107216,0.9827892,1.1716488,4.9666608,5.3448984,2.0373768,2.1664584,0.1133028,3.7571364,2.63007,3.9114576,3.635766,0.5290272,1.9651896
2019-01-17,6.1183512,2.754648,2.6105328,8.4018384,1.7967096,6.040656,2.9273076,0.8146332,6.5117844,5.6206872,2.9201148,6.5685492,4.178304,0.485514,3.5407692,9.1715976,4.3442244,8.2386396,7.8447852,5.5833948,0.9878112,1.1991888,5.2898508,5.588838,2.1592008,2.1916656,0.1032912,4.1229324,2.6778924,4.1341752,3.7918044,0.5090364,1.9909476
2019-01-18,6.2400132,2.7853308,2.6070984,8.1269568,1.8305676,6.2280576,3.1072896,0.8300556,6.94089,5.6734344,2.9119824,6.745356,4.298994,0.4769928,3.8753964,9.801972,4.61376,9.1025208,8.0592084,5.8689684,0.9717084,1.2504456,5.4463428,5.785182,2.1912768,2.2646628,0.1026756,4.1740272,3.0213972,4.471524,3.8093328,0.4751784,2.0175156
2019-01-19,6.4196064,2.946942,2.671056,7.9356672,1.8946872,6.8812092,3.4498224,0.8505972,7.9058592,6.104322,3.0685716,7.33131,4.7115756,0.4841856,3.9407796,11.3179356,5.187726,11.17638,8.7696108,6.688332,1.00359,1.3391244,5.9980824,6.6507804,2.2231584,2.5187436,0.11016,4.4604756,2.911626,4.8200832,3.9325824,0.4802328,2.1284208
2019-01-20,6.1418088,2.9495016,2.6260524,8.11053,1.9233936,6.9910128,2.902878,0.8011872,7.9393608,5.7490236,2.9485296,6.9283188,5.1180984,0.47709,3.730536,9.4484232,5.7932496,9.0234,8.8540452,5.6416176,0.9905328,1.198152,6.2281224,7.2177156,2.2081248,2.452194,0.1064988,4.7408652,2.6368092,4.8335616,3.800034,0.4656204,2.0683188
2019-01-21,7.3892088,3.1054104,2.6774064,10.4537304,1.9873188,7.5463164,3.0314736,0.8225388,8.5978908,6.025104,3.0207816,6.8190012,5.8335876,0.4709988,4.1528052,10.186074,6.8024124,8.6487912,9.85446,5.9034096,0.9906948,1.3085064,7.0511472,8.4012552,2.1464352,2.6876772,0.106272,5.3202744,2.7602532,5.3168076,4.0317264,0.4715496,2.2204044
2019-01-22,6.2027532,3.403944,2.7344304,8.3364876,1.9597788,8.4436344,2.9311632,0.8302824,9.6373476,6.154218,3.1442904,6.4200924,6.7419216,0.466398,3.85884,9.949392,8.48151,8.9287596,11.078694,5.9980176,1.0102644,1.4198004,7.6079088,9.5647392,2.2674816,2.7650484,0.0995652,6.0829704,2.7491724,5.8463208,4.1505696,0.4786452,2.277396
2019-01-23,6.38361,3.507786,2.7711396,8.807454,2.0826072,8.9491068,3.052242,0.8369568,10.9974024,6.6561264,3.2248368,6.6658788,7.326288,0.4702212,4.0910184,10.5071256,9.2771244,9.4338756,11.9472732,6.1902792,1.0607436,1.4879052,8.3211624,10.333818,2.4069312,3.0388608,0.1023516,6.0942132,2.8738476,5.9148792,4.40316,0.4706748,2.4054084
2019-01-24,6.5075076,3.6700776,2.77344,9.0318564,2.1680784,9.7655544,3.1185648,0.8624556,12.4885152,7.0093512,3.315978,6.9909804,7.810992,0.4697352,4.4669556,11.0597076,10.1075364,9.6114924,13.4514432,6.1462152,1.1322504,1.4595552,9.4705524,11.7430884,2.521368,3.2036796,0.1013472,6.9030144,3.0019248,6.8800428,4.585248,0.4797144,2.5628724
2019-01-25,6.6069432,3.9063708,2.8408644,8.493012,2.278854,10.7492832,3.2621292,0.8638488,15.071508,7.6002624,3.5300124,7.2821916,9.2120652,0.4415472,4.645026,11.879136,11.8354284,10.7567352,15.17373,6.4990836,1.1768328,1.5661836,10.4726844,13.3652268,2.665548,3.5730072,0.1087668,7.3360404,3.1862808,7.4288664,4.8067992,0.4785156,2.7089316
2019-01-26,6.630822,4.227876,2.9670624,8.2345248,2.4870888,12.3060708,3.5992836,0.914814,18.6550452,8.604954,3.9523788,7.860888,12.6649332,0.372762,4.7847024,14.1958656,15.2441028,13.8561516,17.7173892,7.4464596,1.2458448,1.7511228,11.5099056,16.257186,2.9322,4.2687324,0.1056564,7.7058216,3.4342704,8.1388152,5.2384968,0.4847688,2.9370276
2019-01-27,6.1474788,4.3407252,2.8936764,8.0546076,2.4944112,12.4501536,3.0752784,0.842886,21.2202504,8.7702264,3.9514716,7.4034972,14.858964,0.4948452,4.6376388,12.9754224,17.3755368,11.898738,19.5897528,6.6339648,1.3186476,1.73907,12.1349988,18.4617144,2.9891268,4.4508528,0.111618,7.9605504,3.3777,7.8586524,5.2992792,0.4600476,3.0098304
