日期,市,省,比例
2020-01-01,榆林,陕西,0.1251
2020-01-01,阿拉善盟,内蒙古,0.0917
2020-01-01,鄂尔多斯,内蒙古,0.08990000000000001
2020-01-01,平凉,甘肃,0.0612
2020-01-01,庆阳,甘肃,0.0605
2020-01-01,乌海,内蒙古,0.0566
2020-01-01,西安,陕西,0.049
2020-01-01,白银,甘肃,0.049
2020-01-01,兰州,甘肃,0.0379
2020-01-01,北京,北京,0.0259
2020-01-01,巴彦淖尔,内蒙古,0.0201
2020-01-01,延安,陕西,0.0176
2020-01-01,咸阳,陕西,0.0116
2020-01-01,上海,上海,0.0106
2020-01-01,武威,甘肃,0.01
2020-01-01,天津,天津,0.0096
2020-01-01,西宁,青海,0.0093
2020-01-01,乌鲁木齐,新疆,0.0088
2020-01-01,成都,四川,0.0087
2020-01-01,石家庄,河北,0.0076
2020-01-01,天水,甘肃,0.0075
2020-01-01,包头,内蒙古,0.0072
2020-01-01,重庆,重庆,0.0064
2020-01-01,郑州,河南,0.0059
2020-01-01,呼和浩特,内蒙古,0.0055000000000000005
2020-01-01,宝鸡,陕西,0.0054
2020-01-01,定西,甘肃,0.005
2020-01-01,吕梁,山西,0.0049
2020-01-01,广州,广东,0.0048
2020-01-01,杭州,浙江,0.0048
2020-01-01,青岛,山东,0.0039
2020-01-01,深圳,广东,0.0039
2020-01-01,太原,山西,0.0038
2020-01-01,三亚,海南,0.0035
2020-01-01,武汉,湖北,0.0034
2020-01-01,海西蒙古族藏族自治州,青海,0.0033
2020-01-01,哈尔滨,黑龙江,0.0029
2020-01-01,济南,山东,0.0027
2020-01-01,运城,山西,0.0027
2020-01-01,昆明,云南,0.0027
2020-01-01,南京,江苏,0.0027
2020-01-01,长沙,湖南,0.0026
2020-01-01,张掖,甘肃,0.0026
2020-01-01,保定,河北,0.0026
2020-01-01,酒泉,甘肃,0.0024
2020-01-01,苏州,江苏,0.0024
2020-01-01,南昌,江西,0.0023
2020-01-01,渭南,陕西,0.0022
2020-01-01,沧州,河北,0.0022
2020-01-01,金华,浙江,0.0022
2020-01-02,榆林,陕西,0.099
2020-01-02,西安,陕西,0.0697
