日期,市,省,比例
2020-01-01,兰州,甘肃,0.2151
2020-01-01,临夏回族自治州,甘肃,0.0747
2020-01-01,拉萨,西藏,0.0672
2020-01-01,西安,陕西,0.0482
2020-01-01,成都,四川,0.0353
2020-01-01,巴音郭楞蒙古自治州,新疆,0.0352
2020-01-01,武威,甘肃,0.0294
2020-01-01,张掖,甘肃,0.0218
2020-01-01,北京,北京,0.0208
2020-01-01,甘南藏族自治州,甘肃,0.0194
2020-01-01,酒泉,甘肃,0.0191
2020-01-01,那曲,西藏,0.018500000000000003
2020-01-01,昌都,西藏,0.0148
2020-01-01,甘孜藏族自治州,四川,0.0132
2020-01-01,银川,宁夏,0.0116
2020-01-01,白银,甘肃,0.0114
2020-01-01,咸阳,陕西,0.0102
2020-01-01,定西,甘肃,0.01
2020-01-01,重庆,重庆,0.0093
2020-01-01,上海,上海,0.0086
2020-01-01,阿坝藏族羌族自治州,四川,0.0084
2020-01-01,天水,甘肃,0.0083
2020-01-01,郑州,河南,0.0075
2020-01-01,吕梁,山西,0.006999999999999999
2020-01-01,榆林,陕西,0.0058
2020-01-01,乌鲁木齐,新疆,0.005699999999999999
2020-01-01,广州,广东,0.005600000000000001
2020-01-01,天津,天津,0.0055000000000000005
2020-01-01,武汉,湖北,0.0052
2020-01-01,吴忠,宁夏,0.004699999999999999
2020-01-01,石家庄,河北,0.0045000000000000005
2020-01-01,杭州,浙江,0.0042
2020-01-01,深圳,广东,0.0041
2020-01-01,绵阳,四川,0.0041
2020-01-01,嘉峪关,甘肃,0.0039
2020-01-01,中卫,宁夏,0.0039
2020-01-01,济南,山东,0.0035
2020-01-01,宝鸡,陕西,0.0035
2020-01-01,长沙,湖南,0.0034
2020-01-01,青岛,山东,0.0034
2020-01-01,南充,四川,0.0033
2020-01-01,南阳,河南,0.0033
2020-01-01,南昌,江西,0.0032
2020-01-01,哈密,新疆,0.0031
2020-01-01,哈尔滨,黑龙江,0.0031
2020-01-01,昆明,云南,0.003
2020-01-01,保定,河北,0.003
2020-01-01,焦作,河南,0.0029
2020-01-01,三亚,海南,0.0028000000000000004
2020-01-01,广元,四川,0.0026
2020-01-02,兰州,甘肃,0.1418
2020-01-02,拉萨,西藏,0.073
2020-01-02,西安,陕西,0.0577
2020-01-02,临夏回族自治州,甘肃,0.0475
2020-01-02,成都,四川,0.0451
2020-01-02,北京,北京,0.0281
2020-01-02,巴音郭楞蒙古自治州,新疆,0.0212
2020-01-02,酒泉,甘肃,0.018500000000000003
2020-01-02,张掖,甘肃,0.0163
