日期,市,省,比例
2020-01-01,鄂尔多斯,内蒙古,0.0765
2020-01-01,运城,山西,0.042800000000000005
2020-01-01,北京,北京,0.0374
2020-01-01,庆阳,甘肃,0.0373
2020-01-01,吕梁,山西,0.0275
2020-01-01,忻州,山西,0.0271
2020-01-01,成都,四川,0.0269
2020-01-01,银川,宁夏,0.0266
2020-01-01,平凉,甘肃,0.022000000000000002
2020-01-01,天水,甘肃,0.0217
2020-01-01,重庆,重庆,0.0202
2020-01-01,临汾,山西,0.0199
2020-01-01,十堰,湖北,0.0195
2020-01-01,郑州,河南,0.0188
2020-01-01,三门峡,河南,0.0179
2020-01-01,南阳,河南,0.0169
2020-01-01,兰州,甘肃,0.0165
2020-01-01,吴忠,宁夏,0.0147
2020-01-01,上海,上海,0.0145
2020-01-01,广元,四川,0.0138
2020-01-01,巴中,四川,0.0133
2020-01-01,陇南,甘肃,0.0122
2020-01-01,洛阳,河南,0.011200000000000002
2020-01-01,太原,山西,0.0102
2020-01-01,达州,四川,0.0101
2020-01-01,南充,四川,0.008100000000000001
2020-01-01,深圳,广东,0.008
2020-01-01,苏州,江苏,0.0079
2020-01-01,广州,广东,0.0077
2020-01-01,石家庄,河北,0.0075
2020-01-01,武汉,湖北,0.0074
2020-01-01,天津,天津,0.0066
2020-01-01,西宁,青海,0.0066
2020-01-01,杭州,浙江,0.006500000000000001
2020-01-01,邯郸,河北,0.0064
2020-01-01,定西,甘肃,0.0062
2020-01-01,晋中,山西,0.006
2020-01-01,绵阳,四川,0.005600000000000001
2020-01-01,徐州,江苏,0.0053
2020-01-01,周口,河南,0.0052
2020-01-01,长沙,湖南,0.0051
2020-01-01,南京,江苏,0.005
2020-01-01,商丘,河南,0.0048
2020-01-01,菏泽,山东,0.0046
2020-01-01,包头,内蒙古,0.0045000000000000005
2020-01-01,襄阳,湖北,0.0044
2020-01-01,新乡,河南,0.0043
2020-01-01,乌鲁木齐,新疆,0.0041
2020-01-01,三亚,海南,0.004
2020-01-01,保定,河北,0.004
2020-01-01,合肥,安徽,0.004
2020-01-01,昆明,云南,0.004
2020-01-01,宿州,安徽,0.004
2020-01-01,驻马店,河南,0.004
2020-01-01,固原,宁夏,0.0039
2020-01-01,济南,山东,0.0038
2020-01-01,厦门,福建,0.0037
2020-01-01,安阳,河南,0.0036
2020-01-01,呼和浩特,内蒙古,0.0035
2020-01-01,邢台,河北,0.0035
2020-01-01,白银,甘肃,0.0034
2020-01-01,开封,河南,0.0033
2020-01-01,东莞,广东,0.0033
2020-01-01,哈尔滨,黑龙江,0.0032
2020-01-01,许昌,河南,0.003
2020-01-01,济宁,山东,0.003
2020-01-01,焦作,河南,0.003
2020-01-01,佛山,广东,0.0029
2020-01-01,平顶山,河南,0.0029
2020-01-01,海口,海南,0.0029
2020-01-01,信阳,河南,0.0029
2020-01-01,贵阳,贵州,0.0029
2020-01-01,中卫,宁夏,0.0028000000000000004
2020-01-01,沈阳,辽宁,0.0027
2020-01-01,青岛,山东,0.0027
2020-01-01,阜阳,安徽,0.0027
2020-01-01,乌海,内蒙古,0.0027
2020-01-01,长治,山西,0.0024
2020-01-01,大同,山西,0.0023
2020-01-01,武威,甘肃,0.0023
2020-01-01,廊坊,河北,0.0023
2020-01-01,温州,浙江,0.0023
2020-01-01,沧州,河北,0.0022
2020-01-01,石嘴山,宁夏,0.0021
2020-01-01,福州,福建,0.0021
2020-01-01,临沂,山东,0.0021
2020-01-01,无锡,江苏,0.0021
2020-01-01,德阳,四川,0.002
2020-01-01,晋城,山西,0.002
2020-01-01,宁波,浙江,0.002
2020-01-01,酒泉,甘肃,0.0019
2020-01-01,聊城,山东,0.0019
2020-01-01,拉萨,西藏,0.0019
2020-01-01,巴彦淖尔,内蒙古,0.0019
2020-01-01,南昌,江西,0.0019
2020-01-01,泰安,山东,0.0018
2020-01-01,潍坊,山东,0.0018
2020-01-01,遂宁,四川,0.0018
2020-01-01,濮阳,河南,0.0018
2020-01-01,广安,四川,0.0017
2020-01-02,北京,北京,0.0438
2020-01-02,鄂尔多斯,内蒙古,0.0417
2020-01-02,庆阳,甘肃,0.031400000000000004
2020-01-02,成都,四川,0.03
2020-01-02,运城,山西,0.027999999999999997
2020-01-02,重庆,重庆,0.0253
2020-01-02,银川,宁夏,0.0241
2020-01-02,天水,甘肃,0.0203
2020-01-02,兰州,甘肃,0.0188
2020-01-02,平凉,甘肃,0.0186
2020-01-02,郑州,河南,0.018000000000000002
2020-01-02,上海,上海,0.016399999999999998
2020-01-02,南阳,河南,0.0153
2020-01-02,十堰,湖北,0.0152
2020-01-02,吕梁,山西,0.0148
2020-01-02,巴中,四川,0.0145
2020-01-02,临汾,山西,0.0139
2020-01-02,陇南,甘肃,0.0133
2020-01-02,广元,四川,0.0124
2020-01-02,三门峡,河南,0.0115
2020-01-02,忻州,山西,0.0113
2020-01-02,太原,山西,0.0107
2020-01-02,洛阳,河南,0.0106
2020-01-02,深圳,广东,0.0103
2020-01-02,达州,四川,0.0098
2020-01-02,南充,四川,0.0094
2020-01-02,广州,广东,0.0093
2020-01-02,吴忠,宁夏,0.0088
2020-01-02,武汉,湖北,0.0084
2020-01-02,苏州,江苏,0.008199999999999999
2020-01-02,石家庄,河北,0.008
2020-01-02,西宁,青海,0.0078
2020-01-02,杭州,浙江,0.0076
2020-01-02,天津,天津,0.0069
2020-01-02,周口,河南,0.0068000000000000005
2020-01-02,乌鲁木齐,新疆,0.0066
2020-01-02,绵阳,四川,0.006500000000000001
2020-01-02,南京,江苏,0.0064
2020-01-02,徐州,江苏,0.0062
2020-01-02,商丘,河南,0.0061
2020-01-02,邯郸,河北,0.006
2020-01-02,长沙,湖南,0.005699999999999999
2020-01-02,定西,甘肃,0.005699999999999999
2020-01-02,驻马店,河南,0.005699999999999999
2020-01-02,菏泽,山东,0.005600000000000001
2020-01-02,三亚,海南,0.0055000000000000005
2020-01-02,包头,内蒙古,0.0054
2020-01-02,合肥,安徽,0.0052
2020-01-02,保定,河北,0.0051
2020-01-02,晋中,山西,0.005
2020-01-02,宿州,安徽,0.005
2020-01-02,昆明,云南,0.0048
2020-01-02,固原,宁夏,0.0048
2020-01-02,厦门,福建,0.0046
2020-01-02,新乡,河南,0.0045000000000000005
2020-01-02,济宁,山东,0.0044
2020-01-02,白银,甘肃,0.0043
2020-01-02,济南,山东,0.0042
2020-01-02,青岛,山东,0.0042
2020-01-02,襄阳,湖北,0.0041
2020-01-02,邢台,河北,0.004
2020-01-02,哈尔滨,黑龙江,0.0038
2020-01-02,焦作,河南,0.0037
2020-01-02,许昌,河南,0.0036
2020-01-02,贵阳,贵州,0.0035
2020-01-02,安阳,河南,0.0035
2020-01-02,呼和浩特,内蒙古,0.0035
2020-01-02,阜阳,安徽,0.0034
2020-01-02,中卫,宁夏,0.0034
2020-01-02,大同,山西,0.0033
2020-01-02,信阳,河南,0.0033
2020-01-02,沈阳,辽宁,0.0033
2020-01-02,平顶山,河南,0.0033
2020-01-02,开封,河南,0.0032
2020-01-02,东莞,广东,0.0031
2020-01-02,海口,海南,0.003
2020-01-02,温州,浙江,0.003
2020-01-02,无锡,江苏,0.0029
2020-01-02,福州,福建,0.0028000000000000004
2020-01-02,南昌,江西,0.0028000000000000004
2020-01-02,沧州,河北,0.0028000000000000004
2020-01-02,宁波,浙江,0.0027
2020-01-02,潍坊,山东,0.0027
2020-01-02,武威,甘肃,0.0026
2020-01-02,乌海,内蒙古,0.0026
2020-01-02,酒泉,甘肃,0.0026
2020-01-02,安庆,安徽,0.0026
2020-01-02,拉萨,西藏,0.0026
2020-01-02,遵义,贵州,0.0025
2020-01-02,德阳,四川,0.0025
2020-01-02,长治,山西,0.0025
2020-01-02,廊坊,河北,0.0024
2020-01-02,荆州,湖北,0.0024
2020-01-02,泰安,山东,0.0024
2020-01-02,巴彦淖尔,内蒙古,0.0023
2020-01-02,张掖,甘肃,0.0023
2020-01-02,聊城,山东,0.0023
2020-01-02,宜昌,湖北,0.0023
2020-01-02,扬州,江苏,0.0023
2020-01-02,唐山,河北,0.0023
2020-01-03,鄂尔多斯,内蒙古,0.0572
2020-01-03,北京,北京,0.038
2020-01-03,运城,山西,0.0338
2020-01-03,庆阳,甘肃,0.033
2020-01-03,成都,四川,0.032
2020-01-03,重庆,重庆,0.0249
2020-01-03,银川,宁夏,0.0215
2020-01-03,吕梁,山西,0.0208
2020-01-03,临汾,山西,0.02
2020-01-03,忻州,山西,0.02
2020-01-03,天水,甘肃,0.0195
2020-01-03,兰州,甘肃,0.0193
2020-01-03,郑州,河南,0.019
2020-01-03,平凉,甘肃,0.0177
2020-01-03,十堰,湖北,0.016200000000000003
2020-01-03,南阳,河南,0.0159
2020-01-03,上海,上海,0.0158
2020-01-03,巴中,四川,0.0153
2020-01-03,三门峡,河南,0.015
2020-01-03,广元,四川,0.0128
2020-01-03,陇南,甘肃,0.0126
2020-01-03,洛阳,河南,0.0118
2020-01-03,南充,四川,0.0116
2020-01-03,太原,山西,0.0115
2020-01-03,吴忠,宁夏,0.0099
2020-01-03,达州,四川,0.0096
2020-01-03,深圳,广东,0.0089
2020-01-03,石家庄,河北,0.0078
2020-01-03,广州,广东,0.0077
2020-01-03,西宁,青海,0.0076
2020-01-03,苏州,江苏,0.0076
2020-01-03,周口,河南,0.0071
2020-01-03,杭州,浙江,0.0071
2020-01-03,武汉,湖北,0.0069
2020-01-03,天津,天津,0.0066
2020-01-03,南京,江苏,0.006
2020-01-03,绵阳,四川,0.006
2020-01-03,定西,甘肃,0.006
2020-01-03,乌鲁木齐,新疆,0.0059
2020-01-03,长沙,湖南,0.005699999999999999
2020-01-03,昆明,云南,0.005699999999999999
2020-01-03,徐州,江苏,0.005600000000000001
2020-01-03,包头,内蒙古,0.0055000000000000005
2020-01-03,驻马店,河南,0.0054
2020-01-03,晋中,山西,0.0053
2020-01-03,商丘,河南,0.0052
2020-01-03,邯郸,河北,0.0048
2020-01-03,菏泽,山东,0.004699999999999999
